,Test Mean Absolute Error (Lower is better),Hardware,Algorithm
61,0.3753641792535123,AuthenticAMD,NN
62,0.3753641792535123,GenuineIntel,NN
63,0.5058807606521607,Avg,DT
64,0.3779568901424189,AuthenticAMD,DT
65,0.48456011556720363,GenuineIntel,DT
66,0.5726337621726988,Avg,RF
67,0.47270454473965945,AuthenticAMD,RF
68,0.3107807061209521,GenuineIntel,RF
69,0.5455055806157735,Avg,GB
70,0.41083044527479723,AuthenticAMD,GB
71,0.6228640636220852,GenuineIntel,GB
72,0.2557132956171191,Avg,LR
73,0.23056970897519755,AuthenticAMD,LR
74,0.19829330361975211,GenuineIntel,LR
75,0.3061276969680608,Avg,SV
76,0.3898218465736458,AuthenticAMD,SV
77,0.15207336871683397,GenuineIntel,SV
78,0.23181546110273774,Avg,NN
79,0.23181546110273774,AuthenticAMD,NN
80,0.23181546110273774,GenuineIntel,NN
81,0.10623911846706666,Avg,DT
82,0.1530478691277332,AuthenticAMD,DT
83,0.029619120189272687,GenuineIntel,DT
84,0.10251541794707715,Avg,RF
85,0.12855937816503243,AuthenticAMD,RF
86,0.040559220328508054,GenuineIntel,RF
87,0.07661255529055097,Avg,GB
88,0.1034206746494083,AuthenticAMD,GB
89,0.031159963093404144,GenuineIntel,GB
90,0.8380850309809562,Avg,LR
91,0.21110405355571538,AuthenticAMD,LR
92,0.8625103409712604,GenuineIntel,LR
93,0.73434058279529,Avg,SV
94,0.8464885357447747,AuthenticAMD,SV
95,0.5638756454547684,GenuineIntel,SV
96,0.5208609858124459,Avg,NN
97,0.5208609858124459,AuthenticAMD,NN
98,0.5208609858124459,GenuineIntel,NN
99,0.4586626156866591,Avg,DT
100,0.5655009871098008,AuthenticAMD,DT
101,0.4409745711126768,GenuineIntel,DT
102,0.4672290518726717,Avg,RF
103,1.1898373166456142,AuthenticAMD,RF
104,0.36642236820416524,GenuineIntel,RF
105,0.42259273601448766,Avg,GB
106,0.3678884140384045,AuthenticAMD,GB
107,0.4351223909945009,GenuineIntel,GB
108,0.8662174240989777,Avg,LR
109,0.6480305504213586,AuthenticAMD,LR
110,0.48153306268242885,GenuineIntel,LR
111,0.6932305086360868,Avg,SV
112,0.8232359906258946,AuthenticAMD,SV
113,0.4105552639235279,GenuineIntel,SV
114,0.4866132076822256,Avg,NN
115,0.4866132076822256,AuthenticAMD,NN
116,0.4866132076822256,GenuineIntel,NN
117,0.4658843534597821,Avg,DT
118,0.6562800138919761,AuthenticAMD,DT
119,0.2712340413978183,GenuineIntel,DT
120,0.4238324404140459,Avg,RF
121,0.5858256420602583,AuthenticAMD,RF
122,0.3183862180847412,GenuineIntel,RF
123,0.416068930258747,Avg,GB
124,0.5679987211311157,AuthenticAMD,GB
125,0.27970925054265466,GenuineIntel,GB
126,0.6037033032478192,Avg,LR
127,0.39211394818351236,AuthenticAMD,LR
128,2.942517339341957,GenuineIntel,LR
129,0.7043068748422757,Avg,SV
130,0.5616254015949229,AuthenticAMD,SV
131,1.1003041410392227,GenuineIntel,SV
132,0.6008663873029173,Avg,NN
133,0.6008663873029173,AuthenticAMD,NN
134,0.6008663873029173,GenuineIntel,NN
135,0.44750194939629095,Avg,DT
136,0.3533973989335327,AuthenticAMD,DT
137,1.1656387038227103,GenuineIntel,DT
138,0.38591849417698726,Avg,RF
139,0.36774328953212176,AuthenticAMD,RF
140,0.6066037717061183,GenuineIntel,RF
141,0.43433555248659694,Avg,GB
142,0.3011251151426636,AuthenticAMD,GB
143,1.2980612437051047,GenuineIntel,GB
144,0.6248265476230777,Avg,LR
145,0.7266303330977328,AuthenticAMD,LR
146,0.47672598502472585,GenuineIntel,LR
147,0.8220910268998742,Avg,SV
148,0.710318096332697,AuthenticAMD,SV
149,0.5809736163444197,GenuineIntel,SV
150,0.5486566978011869,Avg,NN
151,0.5486566978011869,AuthenticAMD,NN
152,0.5486566978011869,GenuineIntel,NN
153,0.4694874013474354,Avg,DT
154,0.40815114407462527,AuthenticAMD,DT
155,0.5088637640410912,GenuineIntel,DT
156,0.3906740969405951,Avg,RF
157,0.3439565667303859,AuthenticAMD,RF
158,0.4410152621689456,GenuineIntel,RF
159,0.3639269546024234,Avg,GB
160,0.311939939748079,AuthenticAMD,GB
161,0.4604910929076703,GenuineIntel,GB
162,0.7946564499149713,Avg,LR
163,0.9718977421244932,AuthenticAMD,LR
164,0.5619114271057961,GenuineIntel,LR
165,0.41359903805247844,Avg,SV
166,0.38498402269874477,AuthenticAMD,SV
167,0.37750549818081125,GenuineIntel,SV
168,0.9244946254099294,Avg,NN
169,0.9244946254099294,AuthenticAMD,NN
170,0.9244946254099294,GenuineIntel,NN
171,0.5917735558163615,Avg,DT
172,0.5278562664138661,AuthenticAMD,DT
173,0.37089583163894935,GenuineIntel,DT
174,0.5943493986402223,Avg,RF
175,0.7705472617911111,AuthenticAMD,RF
176,0.2743009277755103,GenuineIntel,RF
177,0.4217506665928886,Avg,GB
178,0.5114921819891233,AuthenticAMD,GB
179,0.316221466742555,GenuineIntel,GB
180,0.5234366558947544,Avg,LR
181,0.4357090912789011,AuthenticAMD,LR
182,0.4281686137020426,GenuineIntel,LR
183,0.4975796945202281,Avg,SV
184,0.433001732582231,AuthenticAMD,SV
185,0.5579350777453105,GenuineIntel,SV
186,0.38958078859990697,Avg,NN
187,0.38958078859990697,AuthenticAMD,NN
188,0.38958078859990697,GenuineIntel,NN
189,0.3257893406741802,Avg,DT
190,0.18325650412922634,AuthenticAMD,DT
191,0.3537868621383675,GenuineIntel,DT
192,0.3502235412247437,Avg,RF
193,0.1913503330616008,AuthenticAMD,RF
194,0.438899327389497,GenuineIntel,RF
195,0.3551581403504816,Avg,GB
196,0.3183742848017903,AuthenticAMD,GB
197,0.46152922000580343,GenuineIntel,GB
198,0.15736101492170765,Avg,LR
199,0.1493878096109997,AuthenticAMD,LR
200,0.20941952342349932,GenuineIntel,LR
201,0.5721686172670906,Avg,SV
202,0.5890156572264078,AuthenticAMD,SV
203,0.4141260770447538,GenuineIntel,SV
204,0.12569497846293018,Avg,NN
205,0.12569497846293018,AuthenticAMD,NN
206,0.12569497846293018,GenuineIntel,NN
207,0.18345721562743889,Avg,DT
208,0.173053469331461,AuthenticAMD,DT
209,0.09553050470402887,GenuineIntel,DT
210,0.15533050200842968,Avg,RF
211,0.15665528020179265,AuthenticAMD,RF
212,0.11510087830611199,GenuineIntel,RF
213,0.11062417994706888,Avg,GB
214,0.11602911741188227,AuthenticAMD,GB
215,0.11653576937382726,GenuineIntel,GB
216,0.4260910961786756,Avg,LR
217,0.3446211985951857,AuthenticAMD,LR
218,0.41666048221175656,GenuineIntel,LR
219,0.39752751752012616,Avg,SV
220,0.33489308812467833,AuthenticAMD,SV
221,0.3909541591859089,GenuineIntel,SV
222,0.2837609150165464,Avg,NN
223,0.2837609150165464,AuthenticAMD,NN
224,0.2837609150165464,GenuineIntel,NN
225,0.20106415968487054,Avg,DT
226,0.11346830289496856,AuthenticAMD,DT
227,0.31889432993704436,GenuineIntel,DT
228,0.18805025954241458,Avg,RF
229,0.10747222906900195,AuthenticAMD,RF
230,0.2588551676923624,GenuineIntel,RF
231,0.15710943246726466,Avg,GB
232,0.0602300183089792,AuthenticAMD,GB
233,0.21826475693434977,GenuineIntel,GB
234,0.2174127175729388,Avg,LR
235,0.25100187652033723,AuthenticAMD,LR
236,0.12105922999240194,GenuineIntel,LR
237,0.328713981259503,Avg,SV
238,0.42120846478701235,AuthenticAMD,SV
239,0.13478048414794436,GenuineIntel,SV
240,0.18586801045145415,Avg,NN
241,0.18586801045145415,AuthenticAMD,NN
242,0.18586801045145415,GenuineIntel,NN
243,0.22111172477497704,Avg,DT
244,0.24272205998301857,AuthenticAMD,DT
245,0.052064962683376584,GenuineIntel,DT
246,0.15835441664561734,Avg,RF
247,0.17466929514052582,AuthenticAMD,RF
248,0.06923628265078269,GenuineIntel,RF
249,0.14524280823300362,Avg,GB
250,0.16706305626372014,AuthenticAMD,GB
251,0.03958884273910325,GenuineIntel,GB
252,0.5112406498285382,Avg,LR
253,0.4747210856452261,AuthenticAMD,LR
254,0.47791249076490405,GenuineIntel,LR
255,0.43777453934178545,Avg,SV
256,0.3187106313272185,AuthenticAMD,SV
257,0.6612881043581793,GenuineIntel,SV
258,0.361378997687579,Avg,NN
259,0.361378997687579,AuthenticAMD,NN
260,0.361378997687579,GenuineIntel,NN
261,0.18860291589243477,Avg,DT
262,0.1260915722626577,AuthenticAMD,DT
263,0.337352393013983,GenuineIntel,DT
264,0.1436942653585945,Avg,RF
265,0.10459469357041398,AuthenticAMD,RF
266,0.27822112177074465,GenuineIntel,RF
267,0.15061240601542802,Avg,GB
268,0.06550230695887084,AuthenticAMD,GB
269,0.28040110863546186,GenuineIntel,GB
270,1.134429811762697,Avg,LR
271,1.2460795901657817,AuthenticAMD,LR
272,0.9393761546614814,GenuineIntel,LR
273,0.6379036035833838,Avg,SV
274,0.9167988479049644,AuthenticAMD,SV
275,0.3195084497750261,GenuineIntel,SV
276,0.4807282282371597,Avg,NN
277,0.4807282282371597,AuthenticAMD,NN
278,0.4807282282371597,GenuineIntel,NN
279,0.5246191232808122,Avg,DT
280,0.7408849852715722,AuthenticAMD,DT
281,0.2232421801194945,GenuineIntel,DT
282,0.5032883329703948,Avg,RF
283,0.8370744596305602,AuthenticAMD,RF
284,0.23974814881207962,GenuineIntel,RF
285,0.4725614249102052,Avg,GB
286,1.092589557185707,AuthenticAMD,GB
287,0.15510042812582747,GenuineIntel,GB
288,0.6231932424100675,Avg,LR
289,0.4677401630744098,AuthenticAMD,LR
290,0.9484136760036388,GenuineIntel,LR
291,0.8568043960417007,Avg,SV
292,0.6265800134176842,AuthenticAMD,SV
293,0.8446688545343887,GenuineIntel,SV
294,0.5497095507249139,Avg,NN
295,0.5497095507249139,AuthenticAMD,NN
296,0.5497095507249139,GenuineIntel,NN
297,0.4044774719518459,Avg,DT
298,0.31602356015631594,AuthenticAMD,DT
299,0.4919099759899217,GenuineIntel,DT
300,0.28118129873403974,Avg,RF
301,0.24274708669804956,AuthenticAMD,RF
302,0.318006453082787,GenuineIntel,RF
303,0.29200648978617294,Avg,GB
304,0.2320217992058345,AuthenticAMD,GB
305,0.305252723298954,GenuineIntel,GB
306,0.2697972019589032,Avg,LR
307,0.2535687069998684,AuthenticAMD,LR
308,0.282244129977575,GenuineIntel,LR
309,0.7371532647723695,Avg,SV
310,0.7009240678662993,AuthenticAMD,SV
311,0.5607110862982853,GenuineIntel,SV
312,0.26177270482622006,Avg,NN
313,0.26177270482622006,AuthenticAMD,NN
314,0.26177270482622006,GenuineIntel,NN
315,0.4618939682173157,Avg,DT
316,0.20547914626208885,AuthenticAMD,DT
317,0.6077552213385735,GenuineIntel,DT
318,0.27331620525340433,Avg,RF
319,0.1645859020834508,AuthenticAMD,RF
320,0.29253284653763345,GenuineIntel,RF
321,0.3464750402698631,Avg,GB
322,0.18087479974848628,AuthenticAMD,GB
323,0.41170500693716194,GenuineIntel,GB
324,0.5539225854584302,Avg,LR
325,0.6695025295723562,AuthenticAMD,LR
326,0.36246302883967707,GenuineIntel,LR
327,0.5209210559527548,Avg,SV
328,0.6600135327927817,AuthenticAMD,SV
329,0.4099477513469062,GenuineIntel,SV
330,0.5618102613998099,Avg,NN
331,0.5618102613998099,AuthenticAMD,NN
332,0.5618102613998099,GenuineIntel,NN
333,0.4594583224515615,Avg,DT
334,0.5164260868805279,AuthenticAMD,DT
335,0.4197624747397537,GenuineIntel,DT
336,0.4152227900280307,Avg,RF
337,0.5213405595161256,AuthenticAMD,RF
338,0.28242328758194335,GenuineIntel,RF
339,0.3758731619181531,Avg,GB
340,0.45619321411995384,AuthenticAMD,GB
341,0.19807682023798345,GenuineIntel,GB
342,0.16597384818357286,Avg,LR
343,0.20211323681193188,AuthenticAMD,LR
344,0.08075405265408717,GenuineIntel,LR
345,0.17183457531185875,Avg,SV
346,0.21004535492562063,AuthenticAMD,SV
347,0.09088356210756354,GenuineIntel,SV
348,0.2180481405106521,Avg,NN
349,0.2180481405106521,AuthenticAMD,NN
350,0.2180481405106521,GenuineIntel,NN
351,0.19672518834102165,Avg,DT
352,0.2558098146248582,AuthenticAMD,DT
353,0.025799703068559235,GenuineIntel,DT
354,0.13064660620877605,Avg,RF
355,0.1678932163055054,AuthenticAMD,RF
356,0.022936093555256623,GenuineIntel,RF
357,0.1262968989071692,Avg,GB
358,0.1723388868604018,AuthenticAMD,GB
359,0.02406297060709217,GenuineIntel,GB
360,0.39505403311166654,Avg,LR
361,0.35081118402841266,AuthenticAMD,LR
362,0.3876437578288794,GenuineIntel,LR
363,0.7913956009163973,Avg,SV
364,0.7231407223709114,AuthenticAMD,SV
365,1.0374517104156933,GenuineIntel,SV
366,0.5927257492292105,Avg,NN
367,0.5927257492292105,AuthenticAMD,NN
368,0.5927257492292105,GenuineIntel,NN
369,0.4646036790420609,Avg,DT
370,0.31956866812416884,AuthenticAMD,DT
371,0.7472990393057488,GenuineIntel,DT
372,0.33458839552600467,Avg,RF
373,0.23630382253415438,AuthenticAMD,RF
374,0.5852531423615546,GenuineIntel,RF
375,0.38101522344535843,Avg,GB
376,0.28534049071859036,AuthenticAMD,GB
377,0.6374113398281447,GenuineIntel,GB
378,0.36458776128787185,Avg,LR
379,0.25672916510990884,AuthenticAMD,LR
380,0.4532143869974998,GenuineIntel,LR
381,0.6816901542836105,Avg,SV
382,0.5077034127918085,AuthenticAMD,SV
383,0.9515330322190277,GenuineIntel,SV
384,0.4179613400463795,Avg,NN
385,0.4179613400463795,AuthenticAMD,NN
386,0.4179613400463795,GenuineIntel,NN
387,0.34801327646115854,Avg,DT
388,0.2104489347859118,AuthenticAMD,DT
389,0.5805364397687157,GenuineIntel,DT
390,0.2906650360024048,Avg,RF
391,0.19900409302936012,AuthenticAMD,RF
392,0.3695517392895866,GenuineIntel,RF
393,0.29494168202858917,Avg,GB
394,0.22398617501808318,AuthenticAMD,GB
395,0.44557960948268177,GenuineIntel,GB
396,0.25476648032635896,Avg,LR
397,0.26430182639257227,AuthenticAMD,LR
398,0.14058677648676526,GenuineIntel,LR
399,0.37762013400831446,Avg,SV
400,0.42640724063818236,AuthenticAMD,SV
401,0.2620470069301044,GenuineIntel,SV
402,0.22155119514598973,Avg,NN
403,0.22155119514598973,AuthenticAMD,NN
404,0.22155119514598973,GenuineIntel,NN
405,0.21480262077633983,Avg,DT
406,0.25222804193760756,AuthenticAMD,DT
407,0.07769456496165483,GenuineIntel,DT
408,0.15645857275866415,Avg,RF
409,0.18636996465367311,AuthenticAMD,RF
410,0.0923559863967717,GenuineIntel,RF
411,0.14665017596234453,Avg,GB
412,0.14455749793158634,AuthenticAMD,GB
413,0.08394388737090286,GenuineIntel,GB
414,0.3564531826614025,Avg,LR
415,0.28802153438045575,AuthenticAMD,LR
416,0.3551533383403974,GenuineIntel,LR
417,0.4870419223588659,Avg,SV
418,0.6404355735994228,AuthenticAMD,SV
419,0.3667974409236661,GenuineIntel,SV
420,0.5185868911633469,Avg,NN
421,0.5185868911633469,AuthenticAMD,NN
422,0.5185868911633469,GenuineIntel,NN
423,0.3397318744697656,Avg,DT
424,0.19943971911318614,AuthenticAMD,DT
425,0.4888228409636916,GenuineIntel,DT
426,0.2935136748566486,Avg,RF
427,0.16996370180307552,AuthenticAMD,RF
428,0.455631770062257,GenuineIntel,RF
429,0.2846695715087039,Avg,GB
430,0.21286865491883267,AuthenticAMD,GB
431,0.35253538851745625,GenuineIntel,GB
432,0.4822981720063416,Avg,LR
433,0.3327184421508603,AuthenticAMD,LR
434,0.7098183602558588,GenuineIntel,LR
435,0.47325605487835437,Avg,SV
436,0.26314751400038294,AuthenticAMD,SV
437,0.685979900092629,GenuineIntel,SV
438,0.21076797312450415,Avg,NN
439,0.21076797312450415,AuthenticAMD,NN
440,0.21076797312450415,GenuineIntel,NN
441,0.31197167366428236,Avg,DT
442,0.2271215307038243,AuthenticAMD,DT
443,0.4451855436293922,GenuineIntel,DT
444,0.2305283536643815,Avg,RF
445,0.16516298220369513,AuthenticAMD,RF
446,0.28207161120232493,GenuineIntel,RF
447,0.28475087451885883,Avg,GB
448,0.1579587777017435,AuthenticAMD,GB
449,0.450738740260215,GenuineIntel,GB
450,0.702081581281332,Avg,LR
451,0.6220872830678997,AuthenticAMD,LR
452,0.8150051705460508,GenuineIntel,LR
453,0.8035667466520978,Avg,SV
454,0.625507509225394,AuthenticAMD,SV
455,1.1424964407056482,GenuineIntel,SV
456,0.388295476778804,Avg,NN
457,0.388295476778804,AuthenticAMD,NN
458,0.388295476778804,GenuineIntel,NN
459,0.5839668030176035,Avg,DT
460,0.44012907817597247,AuthenticAMD,DT
461,0.8017577008643326,GenuineIntel,DT
462,0.4608431465371094,Avg,RF
463,0.364763854294725,AuthenticAMD,RF
464,0.48482407836594665,GenuineIntel,RF
465,0.537295643962803,Avg,GB
466,0.3666822375236165,AuthenticAMD,GB
467,0.5454831159252977,GenuineIntel,GB
468,0.5201996520130803,Avg,LR
469,0.6180589785485864,AuthenticAMD,LR
470,0.5046918768381964,GenuineIntel,LR
471,0.7830072903843162,Avg,SV
472,0.9437548488587406,AuthenticAMD,SV
473,0.47871884003031717,GenuineIntel,SV
474,0.5621615239608014,Avg,NN
475,0.5621615239608014,AuthenticAMD,NN
476,0.5621615239608014,GenuineIntel,NN
477,0.5536461614265742,Avg,DT
478,0.6300456504036485,AuthenticAMD,DT
479,0.5072163473380076,GenuineIntel,DT
480,0.5078416212078736,Avg,RF
481,0.5887704689402462,AuthenticAMD,RF
482,0.3552961846632669,GenuineIntel,RF
483,0.4343135554195906,Avg,GB
484,0.4043381617014177,AuthenticAMD,GB
485,0.5074123956608217,GenuineIntel,GB
486,0.35875280306862406,Avg,LR
487,0.3510377986955041,AuthenticAMD,LR
488,0.37724578863300484,GenuineIntel,LR
489,0.7621083147899778,Avg,SV
490,0.800698670692801,AuthenticAMD,SV
491,0.6497083896299807,GenuineIntel,SV
492,0.5063617126057389,Avg,NN
493,0.5063617126057389,AuthenticAMD,NN
494,0.5063617126057389,GenuineIntel,NN
495,0.3707034656537247,Avg,DT
496,0.33156560553847414,AuthenticAMD,DT
497,0.46887790019308756,GenuineIntel,DT
498,0.3751990222451474,Avg,RF
499,0.3920968946222359,AuthenticAMD,RF
500,0.4611526391897116,GenuineIntel,RF
501,0.3159937731343434,Avg,GB
502,0.26124317795983226,AuthenticAMD,GB
503,0.2994962115554702,GenuineIntel,GB
504,0.2902314635737453,Avg,LR
505,0.326501959826711,AuthenticAMD,LR
506,0.1735270760037247,GenuineIntel,LR
507,0.25933992398687256,Avg,SV
508,0.35631530328631256,AuthenticAMD,SV
509,0.12816549552384582,GenuineIntel,SV
510,0.13627943135206472,Avg,NN
511,0.13627943135206472,AuthenticAMD,NN
512,0.13627943135206472,GenuineIntel,NN
513,0.2707956722243079,Avg,DT
514,0.30054071439983,AuthenticAMD,DT
515,0.056087640934252836,GenuineIntel,DT
516,0.184270609437697,Avg,RF
517,0.3020180167027432,AuthenticAMD,RF
518,0.07051711521313656,GenuineIntel,RF
519,0.2520107073683579,Avg,GB
520,0.18419922088670615,AuthenticAMD,GB
521,0.06475231636679663,GenuineIntel,GB
522,0.49645007814058517,Avg,LR
523,0.3969287985699468,AuthenticAMD,LR
524,0.6023857648668283,GenuineIntel,LR
525,0.512586680082585,Avg,SV
526,0.3943049970652269,AuthenticAMD,SV
527,0.6642436015862231,GenuineIntel,SV
528,0.5469616916856592,Avg,NN
529,0.5469616916856592,AuthenticAMD,NN
530,0.5469616916856592,GenuineIntel,NN
531,0.17082439413838493,Avg,DT
532,0.1172086345469371,AuthenticAMD,DT
533,0.32088560224889995,GenuineIntel,DT
534,0.12934521114179934,Avg,RF
535,0.12672338701518904,AuthenticAMD,RF
536,0.15953677118868798,GenuineIntel,RF
537,0.1334998608156528,Avg,GB
538,0.06706392386953217,AuthenticAMD,GB
539,0.12889057902283574,GenuineIntel,GB
540,0.5591383112464046,Avg,LR
541,0.29081764894660156,AuthenticAMD,LR
542,0.8911303485991017,GenuineIntel,LR
543,0.5290643576039071,Avg,SV
544,0.09745888463213763,AuthenticAMD,SV
545,1.360866971596641,GenuineIntel,SV
546,0.36975947136542475,Avg,NN
547,0.36975947136542475,AuthenticAMD,NN
548,0.36975947136542475,GenuineIntel,NN
549,0.31983618182081763,Avg,DT
550,0.048415206953391736,AuthenticAMD,DT
551,1.1761641314461442,GenuineIntel,DT
552,0.37610983751831845,Avg,RF
553,0.06771459028612345,AuthenticAMD,RF
554,0.8203656072058324,GenuineIntel,RF
555,0.5007285145486168,Avg,GB
556,0.05582866674305155,AuthenticAMD,GB
557,1.0165522206903437,GenuineIntel,GB
558,0.46079680717301275,Avg,LR
559,0.4889189965290829,AuthenticAMD,LR
560,0.3933341219551316,GenuineIntel,LR
561,0.5558893258424575,Avg,SV
562,0.6605166056480478,AuthenticAMD,SV
563,0.39849668619764866,GenuineIntel,SV
564,0.3078667601903961,Avg,NN
565,0.3078667601903961,AuthenticAMD,NN
566,0.3078667601903961,GenuineIntel,NN
567,0.28675088242824737,Avg,DT
568,0.42962675764510927,AuthenticAMD,DT
569,0.16795593852383633,GenuineIntel,DT
570,0.23121912617263068,Avg,RF
571,0.2816886136559948,AuthenticAMD,RF
572,0.12547987704554717,GenuineIntel,RF
573,0.2563538703674972,Avg,GB
574,0.31117992544966927,AuthenticAMD,GB
575,0.1927534829095825,GenuineIntel,GB
576,0.4747857218110048,Avg,LR
577,0.3385366247551374,AuthenticAMD,LR
578,0.5997876250032425,GenuineIntel,LR
579,0.519738295681001,Avg,SV
580,0.4315587762896309,AuthenticAMD,SV
581,0.5984957378710393,GenuineIntel,SV
582,0.33681293048603306,Avg,NN
583,0.33681293048603306,AuthenticAMD,NN
584,0.33681293048603306,GenuineIntel,NN
585,0.22286801050883714,Avg,DT
586,0.10183064772294227,AuthenticAMD,DT
587,0.3565888168141394,GenuineIntel,DT
588,0.20850304037081518,Avg,RF
589,0.08106135245147818,AuthenticAMD,RF
590,0.26466703108651674,GenuineIntel,RF
591,0.1441346133067962,Avg,GB
592,0.06492368938477729,AuthenticAMD,GB
593,0.32901860078861755,GenuineIntel,GB
594,0.472194194974835,Avg,LR
595,0.2807790575281308,AuthenticAMD,LR
596,0.5503106566597273,GenuineIntel,LR
597,0.5032252027462666,Avg,SV
598,0.35043249637790863,AuthenticAMD,SV
599,0.6824992357807478,GenuineIntel,SV
600,0.2900068287271453,Avg,NN
601,0.2900068287271453,AuthenticAMD,NN
602,0.2900068287271453,GenuineIntel,NN
603,0.2741360359863356,Avg,DT
604,0.09566624129728428,AuthenticAMD,DT
605,0.3715364432423102,GenuineIntel,DT
606,0.2334872624782542,Avg,RF
607,0.11374716090247101,AuthenticAMD,RF
608,0.26214954425753045,GenuineIntel,RF
609,0.17844211969904739,Avg,GB
610,0.08320027658056382,AuthenticAMD,GB
611,0.24229168853538657,GenuineIntel,GB
612,0.4693490571935967,Avg,LR
613,0.34992686766265074,AuthenticAMD,LR
614,0.6428460643178804,GenuineIntel,LR
615,0.45259021725483517,Avg,SV
616,0.2782443894688688,AuthenticAMD,SV
617,0.8314657533898153,GenuineIntel,SV
618,0.23850464631860616,Avg,NN
619,0.23850464631860616,AuthenticAMD,NN
620,0.23850464631860616,GenuineIntel,NN
621,0.1633750491571537,Avg,DT
622,0.1100833664558021,AuthenticAMD,DT
623,0.31080009351518495,GenuineIntel,DT
624,0.11190628367095787,Avg,RF
625,0.05323203306219171,AuthenticAMD,RF
626,0.18092213777014837,GenuineIntel,RF
627,0.10260276753931737,Avg,GB
628,0.05361070145395354,AuthenticAMD,GB
629,0.11739492283162664,GenuineIntel,GB
630,0.3684437372166521,Avg,LR
631,0.31159036252180566,AuthenticAMD,LR
632,0.373815897650031,GenuineIntel,LR
633,0.44689324764807237,Avg,SV
634,0.3571983777551957,AuthenticAMD,SV
635,0.47195243156207345,GenuineIntel,SV
636,0.21506069896463736,Avg,NN
637,0.21506069896463736,AuthenticAMD,NN
638,0.21506069896463736,GenuineIntel,NN
639,0.2725358742044598,Avg,DT
640,0.21905552212352192,AuthenticAMD,DT
641,0.41229786097597765,GenuineIntel,DT
642,0.19802776075665807,Avg,RF
643,0.11987442651101975,AuthenticAMD,RF
644,0.30313376630836664,GenuineIntel,RF
645,0.22575069685925153,Avg,GB
646,0.17248793147471997,AuthenticAMD,GB
647,0.28319192493832696,GenuineIntel,GB
648,0.28814881434536666,Avg,LR
649,0.14840327548461835,AuthenticAMD,LR
650,0.4405149589720455,Avg,SV
651,0.35061436484452824,AuthenticAMD,SV
652,0.8284084673406439,GenuineIntel,SV
653,0.28691509249126634,Avg,NN
654,0.28691509249126634,AuthenticAMD,NN
655,0.28691509249126634,GenuineIntel,NN
656,0.13676132578438815,Avg,DT
657,0.08029547536583395,AuthenticAMD,DT
658,0.3021872728821708,GenuineIntel,DT
659,0.3186746104906222,Avg,RF
660,0.142100543200112,AuthenticAMD,RF
661,1.6459018344021135,GenuineIntel,RF
662,0.1905636423682222,Avg,GB
663,0.11200737889521131,AuthenticAMD,GB
664,0.3331371092806512,GenuineIntel,GB
665,0.7315620166856449,Avg,LR
