,Test Mean Absolute Error (Lower is better),Architecture,Algorithm
170,0.9770504303538476,westmere,LR
171,0.9777984262340073,westmere,LR
172,0.971603623791402,westmere,LR
173,0.9815473271683555,westmere,LR
174,0.9818414506884995,westmere,LR
175,0.9943312155699411,westmere,LR
176,0.9726110924375767,westmere,LR
177,0.9769026650595651,westmere,LR
178,0.9963791633408711,westmere,LR
179,0.9789817703201829,westmere,LR
180,0.9887894549014612,westmere,LR
181,0.9877460025976398,westmere,LR
182,0.9963045650807579,westmere,LR
183,0.9950842579188942,westmere,LR
184,0.988163358082613,westmere,LR
185,0.9789409025784255,westmere,LR
186,0.990731891461436,westmere,LR
187,0.9951583059963149,westmere,LR
188,0.9922033541564732,westmere,LR
189,0.9883293059081478,westmere,LR
190,0.983801469567882,westmere,LR
191,0.9897761321670904,westmere,LR
192,0.9865592657009118,westmere,LR
193,0.9882992634240557,westmere,LR
194,0.9774676245806961,westmere,LR
195,0.9943626552002094,westmere,LR
196,0.9903463717419412,westmere,LR
197,0.9755119110086605,westmere,LR
198,0.9805982730072245,westmere,LR
199,0.9829035196225482,westmere,LR
200,0.9827119141646347,westmere,LR
201,0.9760192453847429,westmere,LR
202,0.967374302845642,westmere,LR
203,0.9899405418909597,westmere,LR
204,0.9739591611896415,westmere,LR
205,0.9683792422191968,westmere,LR
206,0.9638402936593103,westmere,LR
207,0.9719948375612656,westmere,LR
208,0.9579670734697174,westmere,LR
209,0.9699308935083267,westmere,LR
210,0.9566125286827591,westmere,LR
211,0.9647483121920789,westmere,LR
212,0.9809846430303675,westmere,LR
213,0.9615600876716501,westmere,LR
214,0.9732885608020208,westmere,LR
215,0.9797238504736834,westmere,LR
216,0.9834424247165973,westmere,LR
217,0.9751409874997334,westmere,LR
218,0.9768558943608948,westmere,LR
219,0.9545019287465248,westmere,LR
220,0.9921162417227593,westmere,LR
221,0.9960853751331922,westmere,LR
222,0.9875946730088122,westmere,LR
223,0.9908689445430618,westmere,LR
224,0.98886907346964,westmere,LR
225,0.987557166059203,westmere,LR
226,0.9779203035002821,westmere,LR
227,0.9963785420946326,westmere,LR
228,0.9970423334584436,westmere,LR
229,0.9862177169829811,westmere,LR
230,0.9854896841315786,westmere,LR
231,0.9886534722135897,westmere,LR
232,0.9959762631734046,westmere,LR
233,0.9985448866307628,westmere,LR
234,0.9819655481704769,westmere,LR
235,1.0002755206794351,westmere,LR
