,perf_star,conf_star,price_star,price_dollar
AMDPhenomIIX4945,*,*,*,31.0
AMDPhenomIIX4955,**,***,***,176.0
AMDPhenomIIX4960T,*****,*,*,29.0
AMDPhenomIIX4973,***,*,**,70.0
AMDPhenomIIX4B55,***,**,*,39.0
AMDPhenomIIX61035T,*,*,**,108.0
AMDPhenomIIX61045T,*,*,*,52.0
AMDPhenomIIX61055T,***,***,*,48.0
AMDPhenomIIX61090T,***,**,**,90.0
AMDRyzen31200,**,***,**,112.0
AMDRyzen31300X,**,*****,***,128.0
AMDRyzen32200G,**,*****,***,225.0
AMDRyzen32200GwithRadeonVega,****,***,***,198.0
AMDRyzen32200U,****,*,****,346.0
AMDRyzen331004-Core,****,*****,****,353.0
AMDRyzen33200G,***,***,***,225.0
AMDRyzen33200U,*,*****,****,278.0
AMDRyzen33300X4-Core,****,*****,****,382.0
AMDRyzen3PRO4350G,**,**,***,186.0
AMDRyzen51400,****,*,**,97.0
AMDRyzen51500X,****,***,***,119.0
AMDRyzen51600Six-Core,****,*****,***,152.0
AMDRyzen51600XSix-Core,****,*****,***,133.0
AMDRyzen52400G,***,*****,***,204.0
AMDRyzen52400GwithRadeonVega,****,****,***,204.0
AMDRyzen52500U,****,**,*****,580.0
AMDRyzen52500UwithRadeonVegaMobileGfx,****,*,****,267.0
AMDRyzen52600Six-Core,****,*****,***,153.0
AMDRyzen52600XSix-Core,****,*****,****,252.0
AMDRyzen53400G,***,*****,****,249.0
AMDRyzen53500U,***,**,*****,458.0
AMDRyzen53500X6-Core,***,***,***,172.0
AMDRyzen53550H,***,**,*****,500.0
AMDRyzen536006-Core,*****,*****,***,190.0
AMDRyzen53600X6-Core,*****,*****,****,234.0
AMDRyzen53600XT6-Core,*****,*****,****,370.0
AMDRyzen54500U,***,*****,****,282.0
AMDRyzen55500U,****,*****,****,270.0
AMDRyzen55600G,*****,*****,****,259.0
AMDRyzen55600X6-Core,*****,*****,****,315.0
AMDRyzen5PRO3500U,*,*,****,291.0
AMDRyzen5PRO4650G,****,*****,****,300.0
AMDRyzen5PRO4650U,*,*,****,360.0
AMDRyzen71700Eight-Core,***,*****,***,148.0
AMDRyzen71700XEight-Core,****,*****,***,185.0
AMDRyzen71800XEight-Core,****,*****,***,197.0
AMDRyzen72700Eight-Core,****,*****,***,200.0
AMDRyzen72700XEight-Core,****,*****,****,238.0
AMDRyzen73700X8-Core,*****,*****,****,329.0
AMDRyzen73800X8-Core,*****,*****,****,340.0
AMDRyzen73800XT8-Core,*****,*****,****,416.0
AMDRyzen74800H,*****,**,****,310.0
AMDRyzen74800U,****,*,****,400.0
AMDRyzen75700G,*****,*****,****,325.0
AMDRyzen75700U,*****,*,*****,1218.0
AMDRyzen75800H,*****,*,****,310.0
AMDRyzen75800U,**,*,*****,464.0
AMDRyzen75800X8-Core,*****,*****,*****,465.0
AMDRyzen7PRO2700Uw,****,**,****,358.0
AMDRyzen7PRO4750G,****,*****,*****,651.0
AMDRyzen7PRO4750U,***,**,***,210.0
AMDRyzen93900X12-Core,*****,*****,****,440.0
AMDRyzen93900XT12-Core,*****,*****,*****,692.0
AMDRyzen93950X16-Core,*****,*****,*****,725.0
AMDRyzen94900HS,*****,*,*****,575.0
AMDRyzen95900HX,*****,*****,*****,615.0
AMDRyzen95900X12-Core,*****,*****,*****,583.0
AMDRyzen95950X16-Core,*****,*****,*****,869.0
AMDRyzenThreadripper1900X8-Core,*****,**,***,150.0
AMDRyzenThreadripper1920X12-Core,*****,****,****,410.0
AMDRyzenThreadripper1950X16-Core,*****,*****,*****,500.0
AMDRyzenThreadripper2920X12-Core,****,*****,*****,715.0
AMDRyzenThreadripper2950X16-Core,*****,*****,*****,999.0
AMDRyzenThreadripper2970WX24-Core,****,*****,*****,679.0
AMDRyzenThreadripper2990WX32-Core,*****,*****,*****,1385.0
AMDRyzenThreadripper3960X24-Core,*****,*****,*****,1700.0
AMDRyzenThreadripper3970X32-Core,*****,*****,*****,3022.0
AMDRyzenThreadripper3990X64-Core,*****,*****,*****,4981.0
AMDRyzenThreadripperPRO3995WX64-Cores,*****,*,*****,5290.0
AMDSempron3850APUwithRadeonR3,*,*,*,51.0
ARMv7Cortex-A534-Core,*,**,*,40.0
ARMv7Cortex-A74-Core,*,**,***,116.0
ARMv7rev38-Core,*,**,**,60.0
AmpereeMAGARMv832-Core,*,*****,*****,850.0
IntelAtomC2550,****,*,**,86.0
IntelAtomC2750,*,**,***,171.0
IntelAtomC3338,*,*,*,36.0
IntelAtomC3558,*****,*,**,86.0
IntelAtomC3950,*,**,****,300.0
IntelAtomD525,*,*,**,63.0
IntelAtomE3815,*,*,***,135.0
IntelAtomE3825,*,*,**,70.0
IntelAtomE3845,*,***,*,42.0
IntelAtomE3950,*,*,*,45.0
IntelAtomN2600,*,**,*,47.0
IntelAtomN280,*,*,*,43.0
IntelAtomN2800,*,*,*,47.0
IntelAtomN450,*,*,**,64.0
IntelAtomN570,*,*,**,86.0
IntelAtomZ3735F,*,*,***,181.0
IntelAtomx5-Z8350,*,***,*,21.0
IntelCeleron1007U,*,*,***,185.0
IntelCeleron1037U,**,*,**,87.0
IntelCeleron2955U,****,*,**,107.0
IntelCeleron3205U,*****,*,****,287.0
IntelCeleron847,*,*,****,315.0
IntelCeleronB830,*,*,*,15.0
IntelCeleronG1101,**,*,*,14.0
IntelCeleronG3930,**,*,*,51.0
IntelCeleronJ1900,*,****,**,82.0
IntelCeleronJ3455,*,****,****,380.0
IntelCeleronJ4105,***,*,**,107.0
IntelCeleronJ4115,*,*,***,119.0
IntelCeleronM900MHz,*,*,*,50.0
IntelCeleronN2820,*,**,***,225.0
IntelCeleronN2830,**,*,***,150.0
IntelCeleronN2840,*,*,*,52.0
IntelCeleronN2920,*,*,**,107.0
IntelCeleronN3050,*,*****,***,170.0
IntelCeleronN3060,*,*,****,282.0
IntelCeleronN3150,*****,*,**,107.0
IntelCeleronN3160,***,*,****,349.0
IntelCeleronN4000,**,*,**,107.0
IntelCeleronN4020,*,**,**,65.0
IntelCore26300,*****,*,*,25.0
IntelCore26400,**,*,*,30.0
IntelCore2DuoE4600,****,*,*,18.0
IntelCore2DuoE6750,***,*,*,13.0
IntelCore2DuoE7400,****,*,*,29.0
IntelCore2DuoE7500,**,*,*,15.0
IntelCore2DuoE8200,*,*,*,50.0
IntelCore2DuoE8400,*,**,*,9.0
IntelCore2DuoE8500,**,*,*,40.0
IntelCore2DuoE8600,***,*,*,50.0
IntelCore2DuoP8400,***,*,**,93.0
IntelCore2DuoP8600,***,**,*,49.0
IntelCore2DuoP8700,**,*,**,57.0
IntelCore2DuoP9xxx,*,*,**,99.0
IntelCore2DuoT5250,**,*,**,90.0
IntelCore2DuoT6600,***,*,*,40.0
IntelCore2DuoT7100,**,***,*,15.0
IntelCore2DuoT7300,*,*,**,54.0
IntelCore2DuoT7500,*,*,*,43.0
IntelCore2DuoT7700,**,*,***,130.0
IntelCore2DuoT9500,*,*,**,108.0
IntelCore2DuoT9600,****,*,**,65.0
IntelCore2Quad,*,*,***,125.0
IntelCore2QuadQ6600,*,**,**,96.0
IntelCore2QuadQ8200,***,*,**,64.0
IntelCore2QuadQ8300,*,*,*,36.0
IntelCore2QuadQ8400,****,*,***,129.0
IntelCore2QuadQ9300,*,*,**,68.0
IntelCore2QuadQ9400,**,***,**,53.0
IntelCore2QuadQ9450,**,*,*,36.0
IntelCore2QuadQ9500,*,*,*,49.0
IntelCore2QuadQ9550,**,*,****,325.0
IntelCore2QuadQ9650,**,**,**,53.0
IntelCore2T5600,***,*,*,7.0
IntelCore2T7200,*,*,*,38.0
IntelCore870,****,*,***,199.0
IntelCorei3-10110U,****,**,****,434.0
IntelCorei3-2100,***,**,**,60.0
IntelCorei3-2120,***,*****,*,30.0
IntelCorei3-2365M,***,*,*,20.0
IntelCorei3-3120M,***,**,***,129.0
IntelCorei3-3217U,**,**,***,199.0
IntelCorei3-3220T,****,*,*,40.0
IntelCorei3-4010U,**,*,***,125.0
IntelCorei3-4030U,**,*,****,281.0
IntelCorei3-4130,*,*****,**,60.0
IntelCorei3-4150,***,*,**,77.0
IntelCorei3-4330TE,**,*,***,122.0
IntelCorei3-4370,*****,*,****,450.0
IntelCorei3-5005U,***,**,****,275.0
IntelCorei3-5010U,**,*,****,304.0
IntelCorei3-6100,****,*,***,161.0
IntelCorei3-6100U,****,*,*****,530.0
IntelCorei3-6300,***,*,***,170.0
IntelCorei3-7020U,**,*,****,281.0
IntelCorei3-7100,**,*****,***,187.0
IntelCorei3-7350K,*****,*,****,240.0
IntelCorei3-8100,***,*****,***,200.0
IntelCorei3-8100T,***,***,***,139.0
IntelCorei3-8109U,****,*,*****,500.0
IntelCorei3330M,**,*,***,150.0
IntelCorei3350M,**,*,*,29.0
IntelCorei3370M,*,***,*,30.0
IntelCorei3380M,**,*,*,50.0
IntelCorei3380U,*,*,**,86.0
IntelCorei3540,**,*,**,59.0
IntelCorei3550,**,*,*,19.0
IntelCorei5-1135G7,****,***,****,309.0
IntelCorei5-11600K,*****,*****,****,295.0
IntelCorei5-2320,***,**,**,104.0
IntelCorei5-2400,***,****,**,59.0
IntelCorei5-2400S,****,*,***,145.0
IntelCorei5-2405S,**,*,***,208.0
IntelCorei5-2410M,**,**,*,42.0
IntelCorei5-2415M,***,*,**,82.0
IntelCorei5-2430M,**,**,**,73.0
IntelCorei5-2450M,**,**,**,74.0
IntelCorei5-2500K,**,*****,**,100.0
IntelCorei5-2500S,*****,*,**,55.0
IntelCorei5-2520M,*,*****,*,42.0
IntelCorei5-2540M,*****,*,*,48.0
IntelCorei5-3210M,***,***,**,62.0
IntelCorei5-3230M,****,**,**,100.0
IntelCorei5-3317U,**,*,***,225.0
IntelCorei5-3320M,**,**,*,48.0
IntelCorei5-3330,****,*,**,80.0
IntelCorei5-3330S,****,*,****,301.0
IntelCorei5-3380M,*****,*,****,269.0
IntelCorei5-3427U,**,*,****,420.0
IntelCorei5-3470,**,*****,***,200.0
IntelCorei5-3570,****,**,***,140.0
IntelCorei5-3570K,****,****,***,166.0
IntelCorei5-4200M,*****,*,**,89.0
IntelCorei5-4200U,**,*,****,281.0
IntelCorei5-4210U,***,**,****,281.0
IntelCorei5-4250U,***,*,****,349.0
IntelCorei5-4278U,***,**,****,265.0
IntelCorei5-4300M,***,*,***,227.0
IntelCorei5-4300U,**,**,****,281.0
IntelCorei5-4430,*****,**,***,154.0
IntelCorei5-4440,***,**,**,79.0
IntelCorei5-4440S,****,***,***,187.0
IntelCorei5-4460,***,****,**,66.0
IntelCorei5-4570,*****,*,**,100.0
IntelCorei5-4570S,****,*,****,240.0
IntelCorei5-4570T,***,**,***,143.0
IntelCorei5-4590,*****,***,**,115.0
IntelCorei5-4590T,*****,*,***,210.0
IntelCorei5-4670,***,*****,**,99.0
IntelCorei5-4670K,****,***,***,227.0
IntelCorei5-4690,****,**,***,203.0
IntelCorei5-4690K,***,*****,***,149.0
IntelCorei5-5200U,***,****,****,281.0
IntelCorei5-5300U,**,*****,****,290.0
IntelCorei5-6200U,***,*****,****,281.0
IntelCorei5-6260U,***,**,*****,499.0
IntelCorei5-6300HQ,****,*,****,250.0
IntelCorei5-6500,**,*****,***,170.0
IntelCorei5-6500T,***,**,***,222.0
IntelCorei5-6600,****,***,***,135.0
IntelCorei5-6600K,****,**,***,135.0
IntelCorei5-7200U,***,****,*****,499.0
IntelCorei5-7260U,****,*,*****,470.0
IntelCorei5-7300U,*****,*,*****,627.0
IntelCorei5-7500,****,****,***,180.0
IntelCorei5-7600K,***,*****,****,260.0
IntelCorei5-8250U,****,*****,****,297.0
IntelCorei5-8350U,**,*,*****,539.0
IntelCorei5-8365UE,***,*,****,297.0
IntelCorei5-8600,*****,*,****,233.0
IntelCorei5460M,**,**,**,65.0
IntelCorei5480M,**,*,**,81.0
IntelCorei5520M,**,**,*,36.0
IntelCorei5540M,**,*,*,49.0
IntelCorei5650,**,***,*,36.0
IntelCorei5750,****,*,**,90.0
IntelCorei5760,***,**,**,69.0
IntelCorei7,**,**,****,233.0
IntelCorei7-10700,**,*,****,380.0
IntelCorei7-11370H,*****,*,****,426.0
IntelCorei7-1165G7,****,*****,****,426.0
IntelCorei7-11700K,*****,*****,****,390.0
IntelCorei7-1185G7,****,*****,****,426.0
IntelCorei7-2600,****,***,**,110.0
IntelCorei7-2600K,****,***,***,138.0
IntelCorei7-2620M,***,*,***,136.0
IntelCorei7-2630QM,***,**,**,93.0
IntelCorei7-2670QM,**,**,***,129.0
IntelCorei7-2677M,****,*,****,317.0
IntelCorei7-3517U,*,***,****,346.0
IntelCorei7-3520M,***,**,***,122.0
IntelCorei7-3540M,****,*,***,128.0
IntelCorei7-3610QM,**,*,**,110.0
IntelCorei7-3612QM,****,*,***,118.0
IntelCorei7-3630QM,****,***,***,229.0
IntelCorei7-3740QM,****,*,***,218.0
IntelCorei7-3770,***,*****,***,154.0
IntelCorei7-3770K,**,*****,****,265.0
IntelCorei7-3770S,***,*,***,128.0
IntelCorei7-3820,*****,*,****,269.0
IntelCorei7-3930K,*****,*,*****,460.0
IntelCorei7-3960X,****,*****,***,170.0
IntelCorei7-4558U,**,*****,****,426.0
IntelCorei7-4600U,***,**,****,398.0
IntelCorei7-4700EQ,***,*,****,289.0
IntelCorei7-4700HQ,***,**,****,383.0
IntelCorei7-4700MQ,*****,***,****,353.0
IntelCorei7-4702MQ,**,*,****,352.0
IntelCorei7-4710HQ,**,*,****,378.0
IntelCorei7-4710MQ,****,*,****,272.0
IntelCorei7-4712HQ,*****,*,****,378.0
IntelCorei7-4750HQ,*****,*,****,434.0
IntelCorei7-4770,****,***,***,147.0
IntelCorei7-4770K,***,*****,****,330.0
IntelCorei7-4770R,*****,*,****,260.0
IntelCorei7-4770S,****,**,***,164.0
IntelCorei7-4790,*****,***,***,206.0
IntelCorei7-4790K,****,*****,****,235.0
IntelCorei7-4800MQ,**,*,***,194.0
IntelCorei7-4810MQ,****,*,***,180.0
IntelCorei7-4870HQ,*****,*,****,434.0
IntelCorei7-4900MQ,***,*,*****,552.0
IntelCorei7-4930K,***,**,***,180.0
IntelCorei7-4960X,**,*****,*****,1326.0
IntelCorei7-5500U,***,*,****,393.0
IntelCorei7-5557U,****,***,*****,606.0
IntelCorei7-5600U,*,*****,****,393.0
IntelCorei7-5775C,***,*****,***,175.0
IntelCorei7-5820K,*****,***,****,400.0
IntelCorei7-5930K,*****,**,*****,690.0
IntelCorei7-5960X,****,*****,***,200.0
IntelCorei7-6700,*****,***,****,250.0
IntelCorei7-6700HQ,***,*****,****,378.0
IntelCorei7-6700K,*****,*****,****,325.0
IntelCorei7-6700T,***,*,*****,1999.0
IntelCorei7-6770HQ,**,*,*****,619.0
IntelCorei7-6800K,***,*****,***,199.0
IntelCorei7-6820HK,***,*,****,378.0
IntelCorei7-6820HQ,***,*****,****,378.0
IntelCorei7-6850K,***,*,****,349.0
IntelCorei7-6950X,*****,*,****,377.0
IntelCorei7-7500U,****,****,*****,539.0
IntelCorei7-7567U,*****,**,*****,734.0
IntelCorei7-7600U,****,**,****,393.0
IntelCorei7-7700,*****,*****,****,385.0
IntelCorei7-7700HQ,****,***,****,378.0
IntelCorei7-7700K,*****,*****,*****,655.0
IntelCorei7-7700T,****,**,****,400.0
IntelCorei7-7740K,*****,*****,***,220.0
IntelCorei7-7800X,****,***,****,305.0
IntelCorei7-7820HQ,*****,*,****,378.0
IntelCorei7-7820X,***,**,*****,709.0
IntelCorei7-7900X,*****,*****,*****,699.0
IntelCorei7-8550U,**,*****,****,409.0
IntelCorei7-8559U,*****,*,*****,617.0
IntelCorei7-8700K,*****,*****,****,350.0
IntelCorei7-8809G,****,*,****,349.0
IntelCorei7-9700K,*****,****,****,300.0
IntelCorei7620M,**,*,**,100.0
IntelCorei7720Q,**,*****,**,100.0
IntelCorei7740Q,**,*,**,100.0
IntelCorei7860,***,*,*,44.0
IntelCorei7870,**,*,**,66.0
IntelCorei7920,**,****,****,233.0
IntelCorei7930,**,**,*,33.0
IntelCorei7950,****,***,***,153.0
IntelCorei7960,***,*,***,134.0
IntelCorei7980X,***,*,***,150.0
IntelCorei7990X,***,*****,****,247.0
IntelCorei9-11900K,*****,*****,*****,544.0
IntelCorei9-7900X,****,**,*****,599.0
IntelCorei9-7920X,****,**,*****,485.0
IntelCorei9-7940X,*****,*,*****,550.0
IntelCorei9-7960X,*****,*****,*****,999.0
IntelCorei9-7980XE,*****,*****,*****,849.0
IntelCorei9-8950HK,****,**,*****,583.0
IntelCorei9-9820X,*****,**,*****,700.0
IntelCorem3-6Y30,****,*,****,281.0
IntelCorem3-7Y30,***,**,****,281.0
IntelPentium1403v2,*,*,*,52.0
IntelPentium42.66GHz,*,*,*,10.0
IntelPentium42.80GHz,*,*,*,15.0
IntelPentium43.20GHz,*,*,*,12.0
IntelPentiumB960,*,*,**,65.0
IntelPentiumD1517,**,*,***,159.0
IntelPentiumD1519,***,*,***,200.0
IntelPentiumD2.80GHz,*,*,**,107.0
IntelPentiumD3.20GHz,**,*,**,100.0
IntelPentiumDualE2160,*,*,**,89.0
IntelPentiumDualE2180,***,*,*,20.0
IntelPentiumDualE2200,**,*,**,54.0
IntelPentiumDualE2220,*,**,**,55.0
IntelPentiumDualT2370,*,*,*,35.0
IntelPentiumDualT3200,*,*,*,12.0
IntelPentiumE5200,*,*,*,50.0
IntelPentiumE5300,*,*,*,8.0
IntelPentiumE5400,****,*,*,13.0
IntelPentiumE5500,***,*,*,14.0
IntelPentiumG2030,****,*,*,29.0
IntelPentiumG3220,***,**,*,44.0
IntelPentiumG3240,*****,*,**,70.0
IntelPentiumG3260,***,**,*,45.0
IntelPentiumG4400,***,****,**,100.0
IntelPentiumG4560,****,***,***,156.0
IntelPentiumG4600,*****,**,**,105.0
IntelPentiumG620,*****,*,*,13.0
IntelPentiumG630,****,*,*,25.0
IntelPentiumG645,****,*,**,94.0
IntelPentiumN3540,****,*,****,251.0
IntelPentiumN3700,*****,*,***,161.0
IntelPentiumN3710,*,*,*,50.0
IntelPentiumN4200,***,*,***,229.0
IntelPentiumSilverJ5005,**,**,*****,522.0
IntelPentiumSilverJ5040,*,*,****,278.0
IntelPentiumT4500,****,*,*,30.0
IntelU7300,*,*,***,119.0
IntelXeon5110,*****,*,*,35.0
IntelXeonD-1521,***,*,***,200.0
IntelXeonD-1527,***,*,****,348.0
IntelXeonD-2146NT,*****,*,*****,641.0
IntelXeonD-2191,****,*,*****,2406.0
IntelXeonE3-1220V2,***,*,****,400.0
IntelXeonE3-1220v3,****,**,**,60.0
IntelXeonE3-1220v5,****,*,***,199.0
IntelXeonE3-1225v3,**,*,**,90.0
IntelXeonE3-1225v5,****,*,***,190.0
IntelXeonE3-1225v6,*****,***,***,210.0
IntelXeonE3-1230V2,****,**,***,191.0
IntelXeonE3-1230v3,*****,*,**,100.0
IntelXeonE3-1230v5,***,*,***,199.0
IntelXeonE3-1231v3,***,*****,**,99.0
IntelXeonE3-1235Lv5,**,*****,****,250.0
IntelXeonE3-1240V2,****,*,**,100.0
IntelXeonE3-1240v3,****,*,*****,681.0
IntelXeonE3-1245v5,***,*****,***,200.0
IntelXeonE3-1246v3,**,*,***,149.0
IntelXeonE3-1260Lv5,***,*****,*****,736.0
IntelXeonE3-1270V2,**,*,***,176.0
IntelXeonE3-1270v3,*****,*,*****,585.0
IntelXeonE3-1270v5,***,*****,****,320.0
IntelXeonE3-1271v3,*,*,***,150.0
IntelXeonE3-1275Lv3,***,*,****,328.0
IntelXeonE3-1275v5,***,*,****,444.0
IntelXeonE3-1275v6,****,*****,****,380.0
IntelXeonE3-1276v3,***,*,*****,978.0
IntelXeonE3-1280v5,***,*****,****,395.0
IntelXeonE3-1505Mv5,***,*,****,434.0
IntelXeonE31220,*****,*,***,125.0
IntelXeonE31230,**,*,****,418.0
IntelXeonE31245,****,*,****,245.0
IntelXeonE312xx,*****,**,***,190.0
IntelXeonE5-1603v3,**,*,*,13.0
IntelXeonE5-16200,***,*,***,144.0
IntelXeonE5-1620v3,*****,*,**,80.0
IntelXeonE5-1650v2,****,***,****,238.0
IntelXeonE5-1650v3,****,*,*****,820.0
IntelXeonE5-1650v4,***,*,*****,1100.0
IntelXeonE5-1680v3,****,*****,*****,590.0
IntelXeonE5-2450L0,**,*,**,65.0
IntelXeonE5-26090,*****,*,**,69.0
IntelXeonE5-2609v4,*,*****,****,450.0
IntelXeonE5-26200,***,**,**,59.0
IntelXeonE5-2620v3,***,**,**,64.0
IntelXeonE5-26300,*,*,**,64.0
IntelXeonE5-2630L0,**,*,*,16.0
IntelXeonE5-2630Lv2,**,*,***,176.0
IntelXeonE5-2630v2,*,*,**,69.0
IntelXeonE5-26400,***,*,*****,540.0
IntelXeonE5-2640v4,****,*,****,454.0
IntelXeonE5-2643v2,*,*,****,399.0
