Producer,Name,Range,Codename,core,clock,Socket,Process (nm),L3 Cache,TDP (W),rel_date,rel_year,Range
AMD,Athlon 1400,Athlon,Thunderbird,1,"1,4",Socket A,180,N/A,72,Jun 6th,2001,Athlon
AMD,Athlon 1400,Athlon,Thunderbird,1,"1,4",Socket A,180,N/A,72,Jun 6th,2001,Athlon
AMD,Athlon 64 3000+,Athlon,Venice,1,2,Socket 754,90,N/A,51,Jan 1st,2001,Athlon
AMD,Athlon 64 3000+,Athlon,Venice,1,2,Socket 754,90,N/A,51,Jan 1st,2001,Athlon
AMD,Athlon 64 3200+,Athlon,Venice,1,"2,2",Socket 754,90,N/A,59,Jan 1st,2001,Athlon
AMD,Athlon 64 3200+,Athlon,Clawhammer,1,"2,2",Socket 754,130,N/A,89,Jan 1st,2001,Athlon
AMD,Athlon 64 3400+,Athlon,Venice,1,"2,4",Socket 754,90,N/A,67,Jan 1st,2001,Athlon
AMD,Athlon 64 3400+,Athlon,Venice,1,"2,2",Socket 939,90,N/A,67,Jan 1st,2001,Athlon
AMD,Athlon 64 3400+,Athlon,Clawhammer,1,"2,4",Socket 754,130,N/A,89,Jan 1st,2001,Athlon
AMD,Athlon 64 3500+,Athlon,San Diego,1,"2,2",Socket 939,90,N/A,67,Jan 1st,2001,Athlon
AMD,Athlon 64 3700+,Athlon,Toledo,1,"2,2",Socket 939,90,N/A,89,Jan 1st,2001,Athlon
AMD,Athlon 64 4000+,Athlon,Toledo,1,"2,4",Socket 939,90,N/A,89,Jan 1st,2001,Athlon
AMD,Athlon XP 1500+,Athlon,Palomino,1,1333,Socket A,180,N/A,60,Oct 9th,2001,Athlon
AMD,Athlon XP 1600+,Athlon,Palomino,1,"1,4",Socket A,180,N/A,63,Oct 9th,2001,Athlon
AMD,Athlon XP 1600+,Athlon,Thoroughbred,1,"1,4",Socket A,130,N/A,49,Jan 1st,2001,Athlon
AMD,Athlon XP 1700+,Athlon,Thoroughbred,1,1467,Socket A,130,N/A,50,Jan 1st,2001,Athlon
AMD,Athlon XP 1700+,Athlon,Thoroughbred,1,1467,Socket A,130,N/A,50,Jan 1st,2001,Athlon
AMD,Athlon XP 1700+,Athlon,Palomino,1,1467,Socket A,180,N/A,64,Oct 9th,2001,Athlon
AMD,Athlon XP 1800+,Athlon,Palomino,1,1533,Socket A,180,N/A,66,Oct 9th,2001,Athlon
AMD,Athlon XP 1800+,Athlon,Thoroughbred,1,1533,Socket A,130,N/A,51,Jan 1st,2001,Athlon
AMD,Athlon XP 1900+,Athlon,Thoroughbred,1,"1,6",Socket A,130,N/A,53,Jan 1st,2001,Athlon
AMD,Athlon XP 1900+,Athlon,Palomino,1,"1,6",Socket A,180,N/A,68,Nov 5th,2001,Athlon
AMD,Athlon XP 2100+,Athlon,Thoroughbred,1,1733,Socket A,130,N/A,62,Jan 1st,2001,Athlon
AMD,Athlon XP 2200+,Athlon,Thoroughbred,1,"1,8",Socket A,130,N/A,63,Jan 1st,2001,Athlon
AMD,Athlon XP 2600+,Athlon,Barton,1,1917,Socket A,130,N/A,68,Jan 1st,2001,Athlon
AMD,Athlon XP 2600+ DTR,Athlon,Barton,1,1917,Socket A,130,N/A,68,Jan 1st,2001,Athlon
AMD,Athlon XP 2800+,Athlon,Barton,1,2083,Socket A,130,N/A,68,Jan 1st,2001,Athlon
AMD,Athlon XP 2800+ DTR,Athlon,Barton,1,2083,Socket A,130,N/A,68,Jan 1st,2001,Athlon
AMD,Athlon XP 3000+,Athlon,Barton,1,"2,1",Socket A,130,N/A,68,Jan 1st,2001,Athlon
AMD,Athlon XP 3000+,Athlon,Barton,1,2167,Socket A,130,N/A,68,Jan 1st,2001,Athlon
AMD,Athlon XP 3200+,Athlon,Barton,1,"2,2",Socket A,130,N/A,77,Jan 1st,2001,Athlon
AMD,Athlon XP-M 2000+,Athlon,Barton,1,1533,Socket A,130,N/A,45,Jan 1st,2001,Athlon
AMD,Athlon XP-M 2200+,Athlon,Barton,1,1667,Socket A,130,N/A,45,Jan 1st,2001,Athlon
AMD,Athlon XP-M 2400+,Athlon,Barton,1,"1,8",Socket A,130,N/A,45,Jan 1st,2001,Athlon
AMD,Athlon XP-M 2500+,Athlon,Barton,1,1862,Socket A,130,N/A,45,Jan 1st,2001,Athlon
AMD,Athlon XP-M 2600+,Athlon,Barton,1,2,Socket A,130,N/A,45,Jan 1st,2001,Athlon
AMD,Athlon XP-M 3000+,Athlon,Barton,1,"2,2",Socket A,130,N/A,45,Jan 1st,2001,Athlon
AMD,Sempron 2200+,Sempron,Barton,1,"1,5",Socket A,130,N/A,62,Jan 1st,2001,Sempron
AMD,Sempron 2300+,Sempron,Barton,1,1583,Socket A,130,N/A,62,Jan 1st,2001,Sempron
AMD,Sempron 2400+,Sempron,Barton,1,1667,Socket A,130,N/A,62,Jan 1st,2001,Sempron
AMD,Sempron 2500+,Sempron,Barton,1,"1,75",Socket A,130,N/A,62,Jan 1st,2001,Sempron
AMD,Sempron 2600+,Sempron,Barton,1,1833,Socket A,130,N/A,62,Jan 1st,2001,Sempron
AMD,Sempron 2600+,Sempron,Paris,1,"1,6",Socket 754,130,N/A,25,Jan 1st,2001,Sempron
AMD,Sempron 2800+,Sempron,Barton,1,2,Socket A,130,N/A,62,Jan 1st,2001,Sempron
AMD,Sempron 2800+,Sempron,Paris,1,"1,6",Socket 754,130,N/A,25,Jan 1st,2001,Sempron
AMD,Sempron 3000+,Sempron,Paris,1,"1,8",Socket 754,130,N/A,25,Jan 1st,2001,Sempron
AMD,Sempron 3100+,Sempron,Paris,1,"1,8",Socket 754,130,N/A,25,Jan 1st,2001,Sempron
AMD,Sempron 3300+,Sempron,Barton,1,"2,2",Socket A,130,N/A,62,Jan 1st,2001,Sempron
AMD,Athlon 64 X2 3600+,Athlon,Manchester,2,2,Socket 939,90,N/A,89,Jan 1st,2001,Athlon
AMD,Athlon XP 1800+,Athlon,Thoroughbred,1,1533,Socket A,130,N/A,51,Jun 10th,2002,Athlon
AMD,Athlon XP 2000+,Athlon,Thoroughbred,1,1667,Socket A,130,N/A,60,Jun 10th,2002,Athlon
AMD,Athlon XP 2000+,Athlon,Thoroughbred,1,1667,Socket A,130,N/A,60,Jun 10th,2002,Athlon
AMD,Athlon XP 2000+,Athlon,Palomino,1,1667,Socket A,180,N/A,70,Jan 7th,2002,Athlon
AMD,Athlon XP 2100+,Athlon,Palomino,1,1733,Socket A,180,N/A,72,Mar 13th,2002,Athlon
AMD,Athlon XP 2200+,Athlon,Thoroughbred,1,"1,8",Socket A,130,N/A,68,Jun 10th,2002,Athlon
AMD,Athlon XP 2400+,Athlon,Thoroughbred,1,2,Socket A,130,N/A,65,Aug 21st,2002,Athlon
AMD,Athlon XP 2400+,Athlon,Thoroughbred,1,2,Socket A,130,N/A,68,Aug 21st,2002,Athlon
AMD,Athlon XP 2600+,Athlon,Thoroughbred,1,2133,Socket A,130,N/A,68,Oct 1st,2002,Athlon
AMD,Athlon XP 2600+,Athlon,Thoroughbred,1,2083,Socket A,130,N/A,68,Aug 21st,2002,Athlon
AMD,Athlon XP 2700+,Athlon,Thoroughbred,1,2167,Socket A,130,N/A,68,Oct 1st,2002,Athlon
AMD,Athlon XP 2800+,Athlon,Thoroughbred,1,"2,25",Socket A,130,N/A,74,Oct 1st,2002,Athlon
AMD,Athlon XP-M 2200+,Athlon,Thoroughbred,1,"1,8",Socket A,130,N/A,45,Nov 11th,2002,Athlon
AMD,Athlon 64 3000+,Athlon,Clawhammer,1,2,Socket 754,130,N/A,89,Dec 15th,2003,Athlon
AMD,Athlon 64 3200+,Athlon,Clawhammer,1,2,Socket 754,130,N/A,89,Sep 23rd,2003,Athlon
AMD,Athlon 64 FX-51,Athlon,SledgeHammer,1,"2,2",Socket 940,130,N/A,89,Sep 23rd,2003,Athlon
AMD,Athlon XP 2000+,Athlon,Thorton,1,1667,Socket A,130,N/A,60,Sep 1st,2003,Athlon
AMD,Athlon XP 2000+,Athlon,Thorton,1,1667,Socket A,130,N/A,60,Sep 1st,2003,Athlon
AMD,Athlon XP 2200+,Athlon,Thorton,1,"1,8",Socket A,130,N/A,63,Sep 1st,2003,Athlon
AMD,Athlon XP 2200+,Athlon,Thorton,1,"1,8",Socket A,130,N/A,63,Sep 1st,2003,Athlon
AMD,Athlon XP 2400+,Athlon,Thorton,1,2,Socket A,130,N/A,68,Sep 1st,2003,Athlon
AMD,Athlon XP 2400+,Athlon,Thorton,1,2,Socket A,130,N/A,68,Sep 1st,2003,Athlon
AMD,Athlon XP 2500+,Athlon,Barton,1,1833,Socket A,130,N/A,68,Feb 10th,2003,Athlon
AMD,Athlon XP 2500+ DTR,Athlon,Barton,1,1833,Socket A,130,N/A,68,Feb 10th,2003,Athlon
AMD,Athlon XP 2600+,Athlon,Thorton,1,2083,Socket A,130,N/A,68,Sep 1st,2003,Athlon
AMD,Athlon XP 2600+,Athlon,Thorton,1,2133,Socket A,130,N/A,68,Sep 1st,2003,Athlon
AMD,Athlon XP 3100+,Athlon,Thorton,1,"2,2",Socket A,130,N/A,68,Dec 1st,2003,Athlon
AMD,Mobile Athlon 64 2800+,Athlon,Clawhammer,1,"1,8",Socket 754,130,N/A,82,Aug 1st,2003,Athlon
AMD,Mobile Athlon 64 3000+,Athlon,Clawhammer,1,"1,8",Socket 754,130,N/A,82,Aug 1st,2003,Athlon
AMD,Mobile Athlon 64 3200+,Athlon,Clawhammer,1,2,Socket 754,130,N/A,82,Aug 1st,2003,Athlon
AMD,Opteron 140,Opteron,SledgeHammer,1,"1,4",Socket 940,130,N/A,85,Jun 30th,2003,Opteron
AMD,Opteron 140,Opteron,SledgeHammer,1,"1,4",Socket 940,130,N/A,82,Sep 9th,2003,Opteron
AMD,Opteron 142,Opteron,SledgeHammer,1,"1,6",Socket 940,130,N/A,82,Sep 9th,2003,Opteron
AMD,Opteron 142,Opteron,SledgeHammer,1,"1,6",Socket 940,130,N/A,85,Jun 30th,2003,Opteron
AMD,Opteron 144,Opteron,SledgeHammer,1,"1,8",Socket 940,130,N/A,82,Sep 9th,2003,Opteron
AMD,Opteron 144,Opteron,SledgeHammer,1,"1,8",Socket 940,130,N/A,85,Jun 30th,2003,Opteron
AMD,Opteron 146,Opteron,SledgeHammer,1,2,Socket 940,130,N/A,89,Sep 9th,2003,Opteron
AMD,Opteron 148,Opteron,SledgeHammer,1,"2,2",Socket 940,130,N/A,89,Nov 17th,2003,Opteron
AMD,Opteron 240,Opteron,SledgeHammer,1,"1,4",Socket 940,130,N/A,82,Aug 5th,2003,Opteron
AMD,Opteron 240,Opteron,SledgeHammer,1,"1,4",Socket 940,130,N/A,85,Apr 22nd,2003,Opteron
AMD,Opteron 242,Opteron,SledgeHammer,1,"1,6",Socket 940,130,N/A,85,Apr 22nd,2003,Opteron
AMD,Opteron 242,Opteron,SledgeHammer,1,"1,6",Socket 940,130,N/A,82,Aug 5th,2003,Opteron
AMD,Opteron 244,Opteron,SledgeHammer,1,"1,8",Socket 940,130,N/A,82,Aug 5th,2003,Opteron
AMD,Opteron 244,Opteron,SledgeHammer,1,"1,8",Socket 940,130,N/A,85,Apr 22nd,2003,Opteron
AMD,Opteron 246,Opteron,SledgeHammer,1,2,Socket 940,130,N/A,89,Aug 5th,2003,Opteron
AMD,Opteron 248,Opteron,SledgeHammer,1,"2,2",Socket 940,130,N/A,89,Nov 17th,2003,Opteron
AMD,Opteron 840,Opteron,SledgeHammer,1,"1,4",Socket 940,130,N/A,82,Sep 9th,2003,Opteron
AMD,Opteron 840,Opteron,SledgeHammer,1,"1,4",Socket 940,130,N/A,85,Jun 30th,2003,Opteron
AMD,Opteron 842,Opteron,SledgeHammer,1,"1,6",Socket 940,130,N/A,82,Sep 9th,2003,Opteron
AMD,Opteron 842,Opteron,SledgeHammer,1,"1,6",Socket 940,130,N/A,85,Jun 30th,2003,Opteron
AMD,Opteron 844,Opteron,SledgeHammer,1,"1,8",Socket 940,130,N/A,82,Sep 9th,2003,Opteron
AMD,Opteron 844,Opteron,SledgeHammer,1,"1,8",Socket 940,130,N/A,85,Jun 30th,2003,Opteron
AMD,Opteron 846,Opteron,SledgeHammer,1,2,Socket 940,130,N/A,89,Sep 9th,2003,Opteron
AMD,Opteron 848,Opteron,SledgeHammer,1,"2,2",Socket 940,130,N/A,89,Nov 17th,2003,Opteron
AMD,Athlon 64 2700+,Athlon,NewCastle,1,"1,6",Socket 754,130,N/A,32,Apr 27th,2004,Athlon
AMD,Athlon 64 2800+,Athlon,NewCastle,1,"1,8",Socket 754,130,N/A,32,Apr 27th,2004,Athlon
AMD,Athlon 64 2800+,Athlon,NewCastle,1,"1,8",Socket 754,130,N/A,89,Apr 27th,2004,Athlon
AMD,Athlon 64 2800+,Athlon,Clawhammer,1,"1,8",Socket 754,130,N/A,89,Apr 27th,2004,Athlon
AMD,Athlon 64 3000+,Athlon,NewCastle,1,2,Socket 754,130,N/A,89,Apr 27th,2004,Athlon
AMD,Athlon 64 3000+,Athlon,NewCastle,1,"1,8",Socket 754,130,N/A,32,Apr 27th,2004,Athlon
AMD,Athlon 64 3200+,Athlon,NewCastle,1,"2,2",Socket 754,130,N/A,89,Apr 27th,2004,Athlon
AMD,Athlon 64 3300+,Athlon,NewCastle,1,"2,4",Socket 754,130,N/A,89,Apr 27th,2004,Athlon
AMD,Athlon 64 3400+,Athlon,Clawhammer,1,"2,2",Socket 754,130,N/A,89,Jan 6th,2004,Athlon
AMD,Athlon 64 3400+,Athlon,NewCastle,1,"2,4",Socket 754,130,N/A,89,Apr 27th,2004,Athlon
AMD,Athlon 64 3600+,Athlon,Clawhammer,1,"2,4",Socket 754,130,N/A,89,Jun 1st,2004,Athlon
AMD,Athlon 64 3700+,Athlon,Clawhammer,1,"2,4",Socket 754,130,N/A,89,Jun 1st,2004,Athlon
AMD,Mobile Athlon 64 2700+,Athlon,Clawhammer,1,"1,6",Socket 754,130,N/A,82,Aug 1st,2004,Athlon
AMD,Mobile Athlon 64 2800+,Athlon,Odessa,1,"1,8",Socket 754,130,N/A,82,Aug 1st,2004,Athlon
AMD,Mobile Athlon 64 2800+,Athlon,Clawhammer,1,"1,8",Socket 754,130,N/A,62,Aug 1st,2004,Athlon
AMD,Mobile Athlon 64 2800+,Athlon,Odessa,1,"1,8",Socket 754,130,N/A,35,Aug 1st,2004,Athlon
AMD,Mobile Athlon 64 3000+,Athlon,Odessa,1,2,Socket 754,130,N/A,35,Aug 1st,2004,Athlon
AMD,Mobile Athlon 64 3000+,Athlon,Clawhammer,1,"1,8",Socket 754,130,N/A,62,Aug 1st,2004,Athlon
AMD,Mobile Athlon 64 3200+,Athlon,Clawhammer,1,2,Socket 754,130,N/A,62,Aug 1st,2004,Athlon
AMD,Sempron 2600+,Sempron,Sonora,1,"1,6",Socket 754,90,N/A,25,Jul 28th,2004,Sempron
AMD,Sempron 2600+,Sempron,Palermo,1,"1,6",Socket 754,90,N/A,62,Aug 1st,2004,Sempron
AMD,Sempron 2600+,Sempron,Georgetown,1,"1,6",Socket 754,90,N/A,62,Jul 28th,2004,Sempron
AMD,Sempron 2800+,Sempron,Sonora,1,"1,6",Socket 754,90,N/A,25,Jul 28th,2004,Sempron
AMD,Sempron 2800+,Sempron,Palermo,1,"1,6",Socket 754,90,N/A,62,Aug 1st,2004,Sempron
AMD,Sempron 2800+,Sempron,Georgetown,1,"1,6",Socket 754,90,N/A,62,Jul 28th,2004,Sempron
AMD,Sempron 3000+,Sempron,Georgetown,1,"1,8",Socket 754,90,N/A,62,Jul 28th,2004,Sempron
AMD,Sempron 3000+,Sempron,Sonora,1,"1,8",Socket 754,90,N/A,25,Nov 23rd,2004,Sempron
AMD,Sempron 3100+,Sempron,Paris,1,"1,8",Socket 754,130,N/A,62,Jul 28th,2004,Sempron
AMD,Athlon 64 3000+,Athlon,Winchester,1,"1,8",Socket 939,90,N/A,67,Oct 14th,2004,Athlon
AMD,Athlon 64 3000+,Athlon,NewCastle,1,"1,8",Socket 939,130,N/A,89,Apr 27th,2004,Athlon
AMD,Athlon 64 3200+,Athlon,Winchester,1,2,Socket 939,90,N/A,67,Oct 14th,2004,Athlon
AMD,Athlon 64 3200+,Athlon,NewCastle,1,2,Socket 939,130,N/A,89,Apr 27th,2004,Athlon
AMD,Athlon 64 3400+,Athlon,NewCastle,1,"2,2",Socket 939,130,N/A,89,Apr 27th,2004,Athlon
AMD,Athlon 64 3500+,Athlon,Winchester,1,"2,2",Socket 939,90,N/A,67,Oct 14th,2004,Athlon
AMD,Athlon 64 3500+,Athlon,NewCastle,1,"2,2",Socket 939,130,N/A,89,Jun 1st,2004,Athlon
AMD,Athlon 64 3500+,Athlon,Clawhammer,1,"2,2",Socket 939,130,N/A,89,Jun 1st,2004,Athlon
AMD,Athlon 64 3700+,Athlon,San Diego,1,"2,2",Socket 939,90,N/A,89,May 4th,2004,Athlon
AMD,Athlon 64 3800+,Athlon,NewCastle,1,"2,4",Socket 939,130,N/A,89,Jun 1st,2004,Athlon
AMD,Athlon 64 3800+,Athlon,Clawhammer,1,"2,4",Socket 939,130,N/A,89,Jun 1st,2004,Athlon
AMD,Athlon 64 4000+,Athlon,San Diego,1,"2,4",Socket 939,90,N/A,89,Oct 19th,2004,Athlon
AMD,Athlon 64 4000+,Athlon,Clawhammer,1,"2,4",Socket 939,130,N/A,89,Oct 19th,2004,Athlon
AMD,Athlon 64 FX-53,Athlon,Clawhammer,1,"2,4",Socket 939,130,N/A,89,Jun 1st,2004,Athlon
AMD,Athlon 64 FX-55,Athlon,San Diego,1,"2,6",Socket 939,90,N/A,104,Oct 10th,2004,Athlon
AMD,Athlon 64 FX-55,Athlon,Clawhammer,1,"2,6",Socket 939,130,N/A,104,Oct 10th,2004,Athlon
AMD,Athlon 64 FX-53,Athlon,SledgeHammer,1,"2,4",Socket 940,130,N/A,89,Mar 18th,2004,Athlon
AMD,Opteron 140,Opteron,SledgeHammer,1,"1,4",Socket 940,130,N/A,82,May 18th,2004,Opteron
AMD,Opteron 140 EE,Opteron,SledgeHammer,1,"1,4",Socket 940,130,N/A,30,Feb 14th,2004,Opteron
AMD,Opteron 142,Opteron,SledgeHammer,1,"1,6",Socket 940,130,N/A,82,May 18th,2004,Opteron
AMD,Opteron 144,Opteron,SledgeHammer,1,"1,8",Socket 940,130,N/A,82,May 18th,2004,Opteron
AMD,Opteron 146 HE,Opteron,SledgeHammer,1,2,Socket 940,130,N/A,55,Feb 14th,2004,Opteron
AMD,Opteron 148,Opteron,SledgeHammer,1,"2,2",Socket 940,130,N/A,89,May 18th,2004,Opteron
AMD,Opteron 148 HE,Opteron,Venus,1,"2,2",Socket 940,90,N/A,55,Dec 1st,2004,Opteron
AMD,Opteron 150,Opteron,SledgeHammer,1,"2,4",Socket 940,130,N/A,89,May 18th,2004,Opteron
AMD,Opteron 240,Opteron,SledgeHammer,1,"1,4",Socket 940,130,N/A,82,May 18th,2004,Opteron
AMD,Opteron 240 EE,Opteron,SledgeHammer,1,"1,4",Socket 940,130,N/A,30,Feb 14th,2004,Opteron
AMD,Opteron 242,Opteron,SledgeHammer,1,"1,6",Socket 940,130,N/A,82,May 18th,2004,Opteron
AMD,Opteron 242,Opteron,Troy,1,"1,6",Socket 940,90,N/A,85,Dec 1st,2004,Opteron
AMD,Opteron 244,Opteron,SledgeHammer,1,"1,8",Socket 940,130,N/A,82,May 18th,2004,Opteron
AMD,Opteron 244,Opteron,Troy,1,"1,8",Socket 940,90,N/A,85,Dec 1st,2004,Opteron
AMD,Opteron 246,Opteron,Troy,1,2,Socket 940,90,N/A,85,Dec 1st,2004,Opteron
AMD,Opteron 246,Opteron,Troy,1,2,Socket 940,90,N/A,85,Dec 1st,2004,Opteron
AMD,Opteron 246 HE,Opteron,SledgeHammer,1,2,Socket 940,130,N/A,55,Feb 14th,2004,Opteron
AMD,Opteron 248,Opteron,Troy,1,"2,2",Socket 940,90,N/A,85,Dec 1st,2004,Opteron
AMD,Opteron 248,Opteron,SledgeHammer,1,"2,2",Socket 940,130,N/A,89,May 18th,2004,Opteron
AMD,Opteron 248,Opteron,Troy,1,"2,2",Socket 940,90,N/A,85,Dec 1st,2004,Opteron
AMD,Opteron 250,Opteron,SledgeHammer,1,"2,4",Socket 940,130,N/A,89,May 18th,2004,Opteron
AMD,Opteron 250,Opteron,Troy,1,"2,4",Socket 940,90,N/A,85,Dec 1st,2004,Opteron
AMD,Opteron 840,Opteron,SledgeHammer,1,"1,4",Socket 940,130,N/A,82,May 18th,2004,Opteron
AMD,Opteron 840 EE,Opteron,SledgeHammer,1,"1,4",Socket 940,130,N/A,30,May 18th,2004,Opteron
AMD,Opteron 842,Opteron,Athens,1,"1,6",Socket 940,90,N/A,85,Dec 1st,2004,Opteron
AMD,Opteron 842,Opteron,SledgeHammer,1,"1,6",Socket 940,130,N/A,82,May 18th,2004,Opteron
AMD,Opteron 844,Opteron,Athens,1,"1,8",Socket 940,90,N/A,85,Dec 1st,2004,Opteron
AMD,Opteron 844,Opteron,SledgeHammer,1,"1,8",Socket 940,130,N/A,82,May 18th,2004,Opteron
AMD,Opteron 846,Opteron,Athens,1,2,Socket 940,90,N/A,85,Dec 1st,2004,Opteron
AMD,Opteron 846,Opteron,Athens,1,2,Socket 940,90,N/A,85,Dec 1st,2004,Opteron
AMD,Opteron 846 HE,Opteron,SledgeHammer,1,2,Socket 940,130,N/A,55,May 18th,2004,Opteron
AMD,Opteron 848,Opteron,Athens,1,"2,2",Socket 940,90,N/A,85,Dec 1st,2004,Opteron
AMD,Opteron 848,Opteron,SledgeHammer,1,"2,2",Socket 940,130,N/A,89,May 18th,2004,Opteron
AMD,Opteron 850,Opteron,SledgeHammer,1,"2,4",Socket 940,130,N/A,89,May 18th,2004,Opteron
AMD,Opteron 850,Opteron,Athens,1,"2,4",Socket 940,90,N/A,85,Dec 1st,2004,Opteron
AMD,Sempron 2200+,Sempron,Thorton,1,"1,5",Socket A,130,N/A,62,Aug 1st,2004,Sempron
AMD,Sempron 2200+,Sempron,Thoroughbred,1,"1,5",Socket A,130,N/A,62,Jul 28th,2004,Sempron
AMD,Sempron 2300+,Sempron,Thoroughbred,1,1583,Socket A,130,N/A,62,Jul 28th,2004,Sempron
AMD,Sempron 2400+,Sempron,Thorton,1,1667,Socket A,130,N/A,62,Aug 1st,2004,Sempron
AMD,Sempron 2400+,Sempron,Thoroughbred,1,1667,Socket A,130,N/A,62,Jul 28th,2004,Sempron
AMD,Sempron 2500+,Sempron,Thoroughbred,1,"1,75",Socket A,130,N/A,62,Jul 28th,2004,Sempron
AMD,Sempron 2600+,Sempron,Thoroughbred,1,1833,Socket A,130,N/A,62,Jul 28th,2004,Sempron
AMD,Sempron 2800+,Sempron,Thorton,1,1992,Socket A,130,N/A,62,Aug 1st,2004,Sempron
AMD,Sempron 2800+,Sempron,Thoroughbred,1,1992,Socket A,130,N/A,62,Jul 28th,2004,Sempron
AMD,Sempron 3000+,Sempron,Barton,1,2,Socket A,130,N/A,62,Sep 17th,2004,Sempron
AMD,Athlon 64 1500+,Athlon,Venice,1,1,Socket 754,90,N/A,9,Nov 7th,2005,Athlon
AMD,Athlon 64 3000+,Athlon,Newark,1,"1,8",Socket 754,130,N/A,62,Apr 14th,2005,Athlon
AMD,Athlon 64 3200+,Athlon,Newark,1,2,Socket 754,130,N/A,83,Apr 14th,2005,Athlon
AMD,Athlon 64 3200+,Athlon,Newark,1,2,Socket 754,130,N/A,62,Apr 14th,2005,Athlon
AMD,Athlon 64 3400+,Athlon,Newark,1,"2,2",Socket 754,130,N/A,83,Apr 14th,2005,Athlon
AMD,Athlon 64 3700+,Athlon,Newark,1,"2,4",Socket 754,130,N/A,83,Apr 14th,2005,Athlon
AMD,Athlon 64 4000+,Athlon,Newark,1,"2,6",Socket 754,130,N/A,62,Aug 16th,2005,Athlon
AMD,Mobile Athlon 64 2700+,Athlon,Odessa,1,"1,6",Socket 754,130,N/A,35,Aug 1st,2005,Athlon
AMD,Mobile Athlon 64 2700+,Athlon,Clawhammer,1,"1,6",Socket 754,130,N/A,35,Aug 1st,2005,Athlon
AMD,Mobile Athlon 64 3400+,Athlon,Clawhammer,1,"2,2",Socket 754,130,N/A,62,Aug 1st,2005,Athlon
AMD,Mobile Athlon 64 3400+,Athlon,Clawhammer,1,"2,2",Socket 754,130,N/A,82,Aug 1st,2005,Athlon
AMD,Mobile Athlon 64 3700+,Athlon,Clawhammer,1,"2,4",Socket 754,130,N/A,82,Aug 1st,2005,Athlon
AMD,Sempron 2500+,Sempron,Palermo,1,"1,4",Socket 754,90,N/A,62,Jul 7th,2005,Sempron
AMD,Sempron 2800+,Sempron,Roma,1,"1,6",Socket 754,90,N/A,25,Jul 15th,2005,Sempron
AMD,Sempron 3000+,Sempron,Albany,1,"1,8",Socket 754,90,N/A,62,Jul 15th,2005,Sempron
AMD,Sempron 3000+,Sempron,Roma,1,"1,8",Socket 754,90,N/A,25,Jul 15th,2005,Sempron
AMD,Sempron 3000+,Sempron,Palermo,1,"1,8",Socket 754,90,N/A,62,Apr 1st,2005,Sempron
AMD,Sempron 3000+,Sempron,Paris,1,"1,8",Socket 754,130,N/A,62,Feb 15th,2005,Sempron
AMD,Sempron 3100+,Sempron,Georgetown,1,"1,8",Socket 754,90,N/A,62,May 3rd,2005,Sempron
AMD,Sempron 3100+,Sempron,Palermo,1,"1,8",Socket 754,90,N/A,62,Apr 1st,2005,Sempron
AMD,Sempron 3100+,Sempron,Sonora,1,"1,8",Socket 754,90,N/A,25,Jan 1st,2005,Sempron
AMD,Sempron 3100+,Sempron,Albany,1,"1,8",Socket 754,90,N/A,62,Jul 15th,2005,Sempron
AMD,Sempron 3100+,Sempron,Roma,1,"1,8",Socket 754,90,N/A,25,Jul 15th,2005,Sempron
