,0
136,AMD EPYC 7343 16-Core
137,AMD Ryzen Threadripper 2950X 16-Core
138,Intel Xeon Gold 5220R
139,AMD Ryzen 7 3800XT 8-Core
140,Intel Core i9-9900KS
141,AMD Ryzen 5 3600XT 6-Core
142,Intel Core i7-8086K
143,Intel Core i7-8700K
144,Intel Xeon E5-2687W v3
145,Intel Core i7-10700T
146,Intel Xeon E5-1680 v3
147,AMD Ryzen 5 3400G
148,AMD Ryzen 5 2400G
149,Intel Core i7-7700K
150,Intel Core i7-7740K
151,Intel Xeon E3-1275 v6
152,Intel Xeon E3-1245 v5
153,Intel Core i5-9400F
154,Intel Core i5-8400
155,Intel Xeon E3-1240 v5
156,Intel Core i7-1165G7
157,AMD Ryzen 3 1300X
158,Intel Core i7-4770K
159,Intel Core i7-5775C
160,Intel Xeon E3-1231 v3
161,Intel Core i7-3770K
162,Intel Core i3-8100
163,Intel Core i7-2700K
164,Intel Core i5-6500
165,Intel Core i3-7100
166,AMD Ryzen 3 3200U
167,Intel Xeon E3-1235L v5
168,2 x Intel Xeon Gold 6254
169,Intel Xeon Gold 6238R
170,AMD Ryzen 5 2600X Six-Core
171,Intel Core i7-6700
172,Intel Core i5-4590T
173,Intel Core i5-4440S
174,AMD Ryzen Threadripper 2920X 12-Core
175,Intel Core i5-4430
176,Intel 0000%
177,Intel Core i7
178,Intel Core i5-5200U
179,2 x Intel Xeon E5540
180,Intel Core i7 950
181,Intel Xeon Gold 6138
182,Intel Core i3
183,Intel Celeron N2830
184,Intel Pentium 4
185,AMD Ryzen 5 2600 Six-Core
186,Intel Atom x5-Z8350
187,ARMv8 Cortex-A72 6-Core
188,2 x Intel Xeon E5-2680 0
189,ARMv8 Neoverse-N1 64-Core
190,2 x Intel Xeon Gold 6252N
191,POWER9 altivec supported 44-Core
192,2 x AMD EPYC 7502 32-Core
193,AMD EPYC 7601 32-Core
194,2 x Intel Xeon E5-2682 v4
195,Intel Core i9-10900KF
196,Intel Core i9-7960X
197,Intel Xeon W-2295
198,AMD Ryzen Threadripper 1950X 16-Core
199,2 x Intel Xeon E5-2680 v2
200,AMD EPYC 7351P 16-Core
201,AMD Ryzen Threadripper 1920X 12-Core
202,2 x Intel Xeon E5-2630 v4
203,AMD Ryzen 9 5900HX
204,Intel Core i7-11700K
205,Intel Xeon Platinum 8253
206,AMD EPYC 7281 16-Core
207,2 x Intel Xeon E5-2667 v3
208,Intel Xeon E-2278G
209,Intel Core i9-9820X
210,2 x Intel Xeon E5-2650 v2
211,AMD Ryzen 7 PRO 4750G
212,AMD Ryzen 7 3800X 8-Core
213,2 x Intel Xeon E5-2670 0
214,AMD Ryzen 7 5700U
215,2 x Intel Xeon E5-2660 0
216,AMD Ryzen 7 1800X Eight-Core
217,Ampere eMAG ARMv8 32-Core
218,Intel Core i7-9700
219,2 x Intel Xeon E5-2450L 0
220,2 x Intel Xeon E5-2620 v2
221,AMD Ryzen 5 1600 Six-Core
222,2 x Intel Xeon X5675
223,Intel Xeon Silver 4108
224,2 x AMD Opteron 6180 SE
225,Intel Core i7-4930K
226,ARMv8 Neoverse-N1 8-Core
227,Intel Xeon E-2176M
228,ARMv8 Cortex-A72 16-Core
229,Intel Xeon E5-1650 v2
230,Intel Xeon E5-2667 v4
231,Intel Core i5-1035G1
232,AMD Ryzen 5 2400G with Radeon Vega
233,2 x Intel Xeon E5-2630 v3
234,Intel Core i5-8400H
235,AMD Ryzen 5 1400
236,Intel Core i5-8259U
237,Intel Core i3-9100
238,Intel Core i7 990X
239,Intel Core i7-4790
240,2 x Intel Xeon E5620
241,Intel Core i3-9100F
242,Intel Core i7-8650U
243,Intel Core i7-6700HQ
244,Intel Core i7-4900MQ
245,AMD Ryzen 3 2200G with Radeon Vega
246,AMD Ryzen 5 2500U
247,AMD Ryzen 3 3200G with Radeon Vega
248,Intel Core i7-2600K
249,Intel Core i7-4710MQ
250,POWER9 4-Core
251,Intel Core i5-7500
252,Intel Core i5-4690
253,Intel Core i5-6600
254,ARMv8 rev 0 8-Core
255,Intel Core i5-10210U
256,Intel Core i5-7400
257,Intel Core i7-4710HQ
258,Intel Core i7-3615QM
259,Intel Atom C3808
260,ARMv8 Neoverse-N1 4-Core
261,Intel Core i5-6300HQ
262,AMD Athlon 3000G
263,AMD FX-6300 Six-Core
264,Loongson-3A5000
265,Intel Core i7-7500U
266,ZHAOXIN KaiXian KX-U6780A
267,Intel Core i7-4600U
268,Intel Core 2 Quad Q9650
269,Intel Core i7-3540M
270,Intel Core i3-7100U
271,Phytium FT-2000
272,Intel Core i5 760
273,ARMv8 Cortex-A73 6-Core
274,Intel Core i5-6300U
275,AMD A10-7850K APU
276,AMD Ryzen 3 2200U
277,Intel Xeon D-2191
278,ARMv8 Neoverse-N1 2-Core
279,Intel Core i5-4210U
280,Intel Core 2 Quad Q9400
281,Intel Core i3-3110M
282,Intel Core i5-4200U
283,2 x Intel Xeon Platinum 8163
284,2 x AMD Opteron 270
285,ARMv7 4-Core
286,ARMv8 Cortex-A57 4-Core
287,Intel Xeon D-2123IT
288,Intel Celeron 3965U
289,Intel Celeron N3350
290,Rockchip ARMv8 Cortex-A53 4-Core
291,ARMv7 rev 10 4-Core
292,ARMv7 Cortex-A7 4-Core
293,Intel Celeron M 900MHz
294,Intel Core i7-1185G7
295,Intel Core i9-7980XE
296,Intel Core i7-6800K
297,Intel Xeon E5-2609 v4
298,Intel Xeon E3-1271 v3
299,NVIDIA GeForce RTX 3090
300,NVIDIA GeForce RTX 3080
301,NVIDIA GeForce RTX 2080 Ti
302,NVIDIA GeForce RTX 2080 SUPER
303,NVIDIA GeForce RTX 2070 SUPER
304,Zotac NVIDIA GeForce RTX 2060 SUPER
305,Zotac NVIDIA GeForce RTX 2080
306,NVIDIA GeForce RTX 3070
307,NVIDIA GeForce RTX 3060 Ti
308,NVIDIA GeForce RTX 2060 SUPER
309,ASUS NVIDIA GeForce RTX 2070
310,NVIDIA Quadro RTX 4000
311,NVIDIA GeForce GTX 1080 Ti
312,eVGA NVIDIA GeForce RTX 3060
313,NVIDIA Quadro RTX 5000 with Max-Q Design
314,eVGA NVIDIA GeForce GTX 1660 SUPER
315,NVIDIA GeForce RTX 2060
316,eVGA NVIDIA GeForce GTX 1660 Ti
317,NVIDIA GeForce GTX 1080
318,MSI NVIDIA GeForce GTX 1080 Ti
319,NVIDIA GeForce GTX 980 Ti
320,Zotac NVIDIA GeForce GTX 1070 Ti
321,NVIDIA GeForce GTX 1070
322,ASUS NVIDIA GeForce GTX 1650 SUPER
323,ASUS NVIDIA GeForce GTX 1660
324,NVIDIA GeForce GTX 980
325,NVIDIA GeForce GTX 1060
326,eVGA NVIDIA GeForce GTX 970
327,ASUS NVIDIA GeForce GTX 1650
328,eVGA NVIDIA GeForce GTX 1050 Ti
329,eVGA NVIDIA GeForce GTX 950
330,eVGA NVIDIA GeForce GTX 960
331,NVIDIA Quadro P2000
332,AMD EPYC 7713 64-Core
333,Intel Xeon E-2278GEL
334,AMD FX-8370 Eight-Core
335,AMD Radeon RX 56
336,MSI AMD Radeon RX 580
337,MSI AMD Radeon HD 7970
338,MSI AMD Radeon HD 7900
339,ASUS NVIDIA GeForce GTX 970
340,AMD EPYC 72F3 8-Core
341,AMD FX-8150 Eight-Core
342,Intel Xeon X5670
343,AMD Ryzen 7 2700U
344,AMD EPYC 7401P 24-Core
345,2 x Intel Xeon E5-2690 v4
346,Intel Core i7-8665U
347,Intel Core i7-7700
348,Intel Core i7-3820
349,Intel Core i7-3770
350,Intel Pentium G4600
351,Intel Core i7-7700HQ
352,Intel Xeon E5-1650 v3
353,Intel Xeon Platinum 8124M
354,Intel Core i5-8250U
355,Intel Core i5-4570
356,Intel Core i3-3220
357,Intel Xeon E3-1220 v3
358,Intel Core i7-6500U
359,2 x Intel Xeon E5-2690 v3
360,Intel Core i7-4700MQ
361,Intel Core i5-2540M
362,2 x Intel Xeon X5680
363,Intel Xeon E5-2690 0
364,Intel Xeon E312xx
365,Intel Xeon E5-2670 0
366,Intel Core i7-2630QM
367,2 x Intel Xeon E5-2640 0
368,2 x Intel Xeon E5-2650 0
369,Intel Xeon E5-2680 v3
370,Intel Core i5 520M
371,4 x Intel Xeon E5-2680 v3
372,Intel Core i7 930
373,AMD FX-8350 Eight-Core
374,Intel Xeon E5-2620 0
375,2 x Intel Xeon E5-2620 0
376,AMD Phenom II X4 B55
377,2 x Intel Xeon E5520
378,AMD Opteron 6380
379,2 x Intel Xeon E5420
380,Intel Core 2 Quad Q9300
381,Intel Core i3-3217U
382,AMD Phenom II X4 945
383,Intel Atom D525
384,AMD Phenom 8650 Triple-Core
385,Intel Pentium Dual T2370
386,SPARC-T5 sparcv9
387,2 x AMD Opteron 6282 SE
388,Intel Atom N570
389,Exynos ARMv7 rev 3 8-Core
390,ARMv6-compatible rev 7
391,2 x AMD EPYC 74F3 24-Core
392,Intel Core i9-10920X
393,Intel Xeon E5-1620 v3
394,Intel Core i5-2500K
395,2 x Intel 0000%
396,Intel Pentium G4400
397,2 x Intel Xeon Platinum 8173M
398,AMD Athlon II X4 620
399,ARMv7 Cortex-A72 4-Core
400,2 x AMD EPYC 7F32 8-Core
401,2 x Intel Xeon Gold 6250
402,2 x AMD EPYC 7542 32-Core
403,2 x AMD EPYC 7262 8-Core
404,2 x AMD EPYC 7552 48-Core
405,2 x Intel Xeon Gold 6258R
406,2 x AMD EPYC 7532 32-Core
407,2 x AMD EPYC 7452 32-Core
408,2 x Intel Xeon Gold 6230R
409,2 x Intel Xeon Silver 4215R
410,2 x Intel Xeon Silver 4214R
411,2 x AMD EPYC 7352 24-Core
412,2 x AMD EPYC 7282 16-Core
413,2 x Intel Xeon Silver 4210
414,2 x Intel Xeon Gold 6138
415,AMD Ryzen 3 1200
416,Intel Core i5-5300U
417,AMD Radeon RX 6800 XT
418,AMD Radeon RX 5700 XT
419,Intel HD 530
420,Intel HD P630
421,Intel UHD 620
422,Intel UHD 630
423,AMD Radeon RX 5600 OEM
424,Intel Iris Plus G7
425,2 x AMD Opteron 6172
426,AMD A10-7700K APU with Radeon R7
427,Intel Core i7 720Q
428,Intel Core i7-3960X
429,AMD Athlon X4 845 Quad Core
430,NVIDIA GeForce GTX 1060 6GB
431,NVIDIA GeForce GTX 780 Ti
432,Zotac NVIDIA GeForce GTX 1050
433,NVIDIA GeForce GTX 680
434,ASUS NVIDIA GeForce GTX 580
435,NVIDIA GeForce GTX 760
436,NVIDIA GeForce GTX 750 Ti
437,MSI NVIDIA GeForce GT 1030
438,NVIDIA GF100GL
439,ASUS NVIDIA GeForce GTX 860M
440,eVGA NVIDIA GeForce GTX 750
441,MSI NVIDIA GeForce GTX 650
442,Intel Kabylake GT2
443,Intel Core i5-7200U
444,2 x AMD EPYC 7642 48-Core
445,2 x AMD EPYC 7402 24-Core
446,2 x AMD EPYC 7272 12-Core
447,2 x Intel Xeon Silver 4210R
448,Intel Xeon Gold 5218R
449,2 x AMD EPYC 7252 8-Core
450,ARMv8 Cortex-A53 4-Core
451,ARMv7 Cortex-A9 4-Core
452,AMD Ryzen Threadripper PRO 3975WX 32-Cores
453,2 x Intel Xeon Gold 6248R
454,2 x Intel Xeon E5-2660 v3
455,2 x Intel Xeon E5-2658 v2
456,2 x Intel Xeon Gold 6140
457,2 x Intel Xeon E5-2665 0
458,2 x Intel Xeon E5-2637 v4
459,Intel Core i7-7820X
460,2 x Intel Xeon E5-2620 v3
461,Intel Core i9-7920X
462,Intel Core i7-9700K
463,Intel Core i7-10875H
464,2 x AMD Opteron 6380
465,Intel Core i7-7800X
466,Intel Core i7-5820K
467,2 x Intel Xeon X5650
468,Intel Core i7-3930K
469,Intel Core i5-9500
470,Intel Core i7-6700K
471,Intel Core i7-4770
472,Intel Core i5-6600K
473,Intel Xeon E3-1240 v3
474,AMD Ryzen 5 1500X
475,Intel Core i5-4670K
476,Intel Core i5-4690K
477,AMD FX-6350 Six-Core
478,Intel Xeon E5-2697 v2
479,Intel Core i7-2600
480,Intel Pentium Gold G5400
481,Intel Pentium G4560
482,2 x Intel Xeon E5-2403 v2
483,AMD A10-7870K Radeon R7 12 Compute Cores 4C
484,Intel Xeon X3460
485,Intel Core i5-2500
486,AMD Ryzen 7 2700U with Radeon Vega Mobile Gfx
487,Intel Core i7-3630QM
488,AMD Athlon X4 860K Quad Core
489,AMD A8-7650K Radeon R7 10 Compute Cores 4C
490,AMD Phenom II X4 940
491,Intel Pentium G3258
492,Intel Core i7-5557U
493,Intel Core i7-5500U
494,Intel Core i5-6200U
495,Intel Pentium G3260
496,Intel Core i3-3120M
497,AMD A10-6700 APU
498,AMD Phenom II X2 560
499,Intel Core i5-3210M
500,Intel Pentium J2900
501,Intel Core i3 370M
502,AMD Athlon II X2 250
503,AMD Phenom 9500
504,AMD Athlon II X2 260
505,Intel Celeron J1900
506,Intel Pentium G645
507,AMD Athlon II X2 245
508,AMD A4-6300 APU
509,AMD A4-5000 APU
510,AMD A6-5400K APU
511,Intel Core 2 Duo T7250
512,Intel Pentium Dual E2180
513,Loongson-3A3000 V0.9 FPU V0.1
514,Intel Celeron N2820
515,Intel Atom E3825
516,AMD E1-2100 APU
517,ARMv7 rev 4 2-Core
518,AMD Ryzen 7 1700X Eight-Core
519,AMD Ryzen 3 3100 4-Core
520,Intel Core i5-3360M
521,AMD FX-8370E Eight-Core
522,AMD Ryzen 3 PRO 4350G
523,Intel Core i7-9850H
524,Intel Core i5 650
525,Intel Core i5-3427U
526,Intel Pentium N3710
527,NVIDIA GeForce RTX 3080 Ti
528,NVIDIA Quadro RTX 5000
529,Matrox MGA G200EH
530,NVIDIA GeForce GTX 660
531,Intel Pentium Silver J5005
532,AMD EPYC 7402 24-Core
533,Intel Core i5-8265U
534,Intel Xeon E3-1225 v6
535,2 x AMD EPYC 7302 16-Core
536,4 x Intel Xeon Gold 6254
537,2 x Intel Xeon Gold 6226R
538,2 x Intel Xeon Platinum 8272CL
539,Intel Xeon E5-2697 v3
540,2 x Intel Xeon Gold 5218R
541,2 x Intel Xeon Platinum 8259L
542,2 x Intel Xeon Silver 4216
543,Intel Core i7-4700HQ
544,Intel Xeon Silver 4210
545,Intel Core i5-2400
546,2 x Intel Xeon E5-2630 0
547,Intel Pentium B960
548,Intel Core 2 Quad Q9500
549,ARMv8 rev 0 6-Core
550,Intel Pentium Dual E2160
551,AMD A6-3410MX APU
552,ARMv7 rev 3 4-Core
553,ARMv8 Cortex-A55 4-Core
554,AMD Ryzen 5 1600X Six-Core
555,2 x Intel Xeon E5-2683 v4
556,2 x Intel Xeon Silver 4110
557,ARMv7 rev 3 8-Core
558,ARMv7 rev 4 4-Core
559,MSI AMD Radeon RX 470
560,NVIDIA GeForce GTX 860M
561,NVIDIA GeForce GTX 1060 3GB
562,NVIDIA GeForce GTX 460 SE
563,MSI NVIDIA GeForce GTX 1060 6GB
564,AMD Radeon HD 6600
565,NVIDIA GeForce 9800 GT
566,AMD Radeon HD 6800
567,Intel HD 4000
568,NVIDIA Quadro 2000M
569,AMD Radeon HD 6550D
570,NVIDIA Quadro NVS 4200M
571,AMD Radeon HD 6400M
572,ATI Radeon 3000
573,AMD Radeon 9600
574,AMD Radeon HD 6520G
575,NVIDIA GeForce 210
576,AMD Radeon HD 3870
577,ATI Radeon HD 5450
578,NVIDIA GeForce GT 430
579,NVIDIA GeForce Go 6150
580,S3 Chrome 600
581,Intel E7221 IGP
582,Intel N10 Family IGP
583,Intel 82945G
584,AMD Mobility Radeon X1300
585,Intel Mobile 4 IGP
586,AMD Ryzen 7 PRO 4750U
587,AMD Ryzen 5 3550H
588,Intel Core i7-10510U
589,Intel Pentium E5200
590,2 x Intel Xeon Gold 6238R
591,2 x Intel Xeon Gold 6330 $
592,AMD Ryzen 7 4800U
593,eVGA NVIDIA GeForce RTX 2070
594,AMD Radeon RX 64
595,Sapphire AMD Radeon RX 470
596,XFX AMD Radeon R9 200
597,Sapphire AMD Radeon RX 560
598,AMD Navi 22
599,AMD Radeon RX 6800
600,AMD Navi 10
601,AMD Ryzen 5 3500X 6-Core
602,2 x Intel Xeon E5-2667 v4
603,Intel Core i5-4300U
604,ARMv8 rev 4 8-Core
605,Intel Atom C3950
606,AMD Ryzen 5 PRO 4650G
607,Sapphire AMD POLARIS10
608,XFX AMD Radeon HD 7950
609,Sapphire AMD Radeon HD 7950
610,Gigabyte AMD Radeon R7 370
611,Gigabyte AMD Radeon RX 550
612,Sapphire AMD Radeon R7 260X
613,Sapphire AMD Radeon HD 6950
614,MSI NVIDIA GeForce GTX 460
615,Sapphire AMD Radeon HD 5830
616,Intel HD 630
617,2 x AMD EPYC 7371 16-Core
618,Intel Core i5-3380M
619,Intel Xeon Gold 6210U
620,AMD EPYC 3255 8-Core Temp
621,Intel Celeron J3455
622,2 x Intel $0000%
623,2 x Intel Xeon E5-2696 v3
624,2 x Intel Xeon E5-2620 v4
625,Intel Xeon Gold 6212U
626,Intel Xeon D-1527
627,2 x Intel Xeon X5670
628,Intel Xeon X3470
629,Intel Xeon X5550
630,2 x Intel Xeon E5-2697 v3
631,Intel Xeon W-2155
632,Intel Celeron J4115
633,Zotac NVIDIA GeForce GTX 780
634,MSI AMD Radeon R7 370
635,eVGA NVIDIA GeForce GTX 550 Ti
636,2 x Intel Xeon Gold 6130
637,2 x Intel Xeon Gold 6230
638,Intel Core i7-8700
639,Intel Xeon E5-2620 v3
640,Intel Core i7-7700T
641,Intel Xeon W3530
642,Intel Core i5-7267U
643,Intel Core i7 740Q
644,ARMv8 Cortex-A73 8-Core
645,ARMv8 rev 3 6-Core
646,Loongson-3A R4
647,ARMv8 rev 1 4-Core
648,Intel Atom E3845
649,Intel Core 2 Duo T7100
650,AMD Athlon X2 BE-2300
651,ARMv7 rev 5 4-Core
652,960GB INTEL SSDPED1D960GAY
653,800GB INTEL
654,4 x 2048GB MR9460-16i
655,4 x 1000GB INTEL SSDPELKX010T8
656,4 x 1024GB KXG60ZNV1T02 TOSHIBA
657,2396GB MR9271-8i
658,2396GB MR9266-8i
659,80GB INTEL SSDSCKGW08
660,2 x 32GB SATA SSD
661,1000GB Force MP600
662,8 x 300GB H106030SDSUN300G
663,256GB TOSHIBA-RD400
664,Force MP600
665,1000GB Western Digital WD_BLACK SN850 1TB
666,2398GB HW-SAS3508
667,20 x 500GB Samsung SSD 860
668,120GB SSDSCKJB120G7R
669,32GB TS32GMSA510
670,512GB INTEL SSDPEKNW512G8
671,250GB Tech
672,20 x ATA Samsung SSD 860 1B6Q
673,238GB INTEL SSDPEKKW256G8
674,238GB NVMe INTEL SSDPEKKW25
675,2 x 932GB WDC WD10EZEX-00BN5A0
676,2 x Intel Xeon Platinum 8168
677,2 x Intel Xeon Gold 6152
678,2 x Intel Xeon E5-2699 v3
679,2 x Intel Xeon E5-2698 v3
680,2 x AMD EPYC 7551 32-Core
681,Intel Core i7-4750HQ
682,2 x Intel Xeon E5-2680 v3
683,2 x Intel Xeon E5-2669 v3
684,AMD EPYC 7551P 32-Core
685,Intel Core i5-2400S
686,Intel Core i3-2120
687,AMD FX-9590 Eight-Core
688,4 x Intel Xeon E5-4650 0
689,Intel Core i7-3517UE
690,Intel Core i7 860
691,AMD FX-8320E Eight-Core
692,2 x Intel Xeon E5-2609 0
693,AMD Phenom II X6 1090T
694,AMD A10-5800K APU
695,Intel Xeon E5-2650 v3
696,Intel Core 2 Duo E8400
697,AMD A10-7850K APU with Radeon R7
698,AMD A10-7800 Radeon R7 12 Compute Cores 4C
699,AMD A8-7670K Radeon R7 10 Compute Cores 4C
700,POWER8E
701,AMD A6-7400K Radeon R5 6 Compute Cores 2C
702,AMD Opteron 62xx class
703,AMD A8-3870 APU
704,Intel Core i3 330M
705,Intel Celeron 2955U
706,Intel Core 2 Quad Q8200
707,AMD Athlon 5350 APU with Radeon R3
708,Intel Core 2 T5600
709,AMD Athlon 5150 APU with Radeon R3
710,Cortex A57 rev 1
711,Exynos ARMv7 rev 4 2-Core
712,Intel Atom E3815
713,Intel Atom Z530
714,ARMv7 rev 9 4-Core
715,2 x AMD EPYC 7702 64-Core
716,2 x Intel Xeon Platinum 8360Y
717,2 x AMD EPYC 7313 16-Core
718,Intel Core i7-10700K
719,Ampere ARMv8 Neoverse-N1 256-Core
720,500GB Seagate FireCuda 520 SSD ZP500GM30002
721,2 x 1000GB CT1000P1SSD8
722,Samsung SSD 970 PRO
723,Samsung SSD 980 PRO
724,2048GB Kioxia KXG50PNV2T04
725,2 x 7682GB INTEL SSDPF2KX076TZ
726,Kioxia KBG40ZNS256G NVMe
727,256GB TOSHIBA RD400
728,256GB TS256GMTS800
729,500GB Samsung SSD 860
730,256GB Samsung SSD 850
731,120GB CT120BX100SSD1
732,128GB SAMSUNG MZNTE128
733,AMD Vega 20
734,NVIDIA GeForce RTX 2080
735,eVGA NVIDIA GeForce GTX 980
736,MSI AMD POLARIS10
737,XFX AMD Radeon HD 7900
738,AMD Radeon R9 Fury
739,AMD Radeon RX 580
740,Sapphire AMD Radeon R9 FURY
741,AMD Radeon RX 470
742,AMD Radeon RX 480
743,AMD Radeon RX 460
744,Intel Xeon E-2286M
745,Intel Core i9-8950HK
746,Intel Core i9-7900X
747,Intel Core i9-9880H
748,Intel Core i7-8809G
749,Intel Core i7-10710U
750,2 x Intel Xeon Platinum 8268
751,Intel Core i3-10110U
752,Intel Core i3-8109U
753,Intel Core i7-4770R
754,Intel Core i5-7300HQ
755,Intel Xeon D-2183IT
756,Intel Core i3-8130U
757,Intel Core i5-4460
758,Intel Core i5-6400
759,AMD Athlon 200GE
760,AMD EPYC 7251 8-Core
761,2 x Intel Xeon Gold 5118
762,2 x AMD EPYC 7301 16-Core
763,2 x Intel Xeon Silver 4114
764,Intel Core i7-7Y75
765,Intel Xeon X5675
766,Intel Core i5-3230M
767,Intel Pentium G3220
768,2 x Intel Xeon E5-2650 v3
769,Intel Core i5-2410M
770,Intel Pentium 4415U
771,Intel Xeon E5649
772,2 x Intel Xeon E5-2650 v4
773,Intel Core i5-2320
774,AMD A12-9720P RADEON R7 12 COMPUTE CORES 4C
775,Intel Xeon X5650
776,2 x Intel Xeon X5550
777,Intel Core i7 920
778,Intel Core i3-7020U
779,AMD Phenom II X6 1055T
780,2 x Intel Xeon E5530
781,Intel Celeron J4105
782,Intel Celeron N4000
783,AMD Athlon II X3 450
784,AMD Phenom II X4 955
785,AMD A10-8700P Radeon R6 10 Compute Cores 4C
786,AMD A8-7410 APU
787,AMD Athlon 5350 APU
788,ARMv8 Neoverse-N1 32-Core
789,AMD Athlon 64 X2 6000
790,Intel Core 2 Duo P7350
791,Intel Celeron N2840
792,Intel Core 2 Quad Q6600
793,Intel Pentium N3700
794,AMD Athlon 64 X2 5000
795,POWER9 altivec supported 64-Core
796,Intel Celeron N3050
797,Intel Core 2 Duo T5250
798,AMD G-T56N
799,ARMv7 Cortex-A53 4-Core
800,NVIDIA Quadro M1000M
